Source,Target,Type,Weight,Timeset
0xbce3bd3b206946abbe094903ae2b4244b52fb4e9,0x02f5d9c2b5376f8b9150cf148aa88a5fdd5dcc50,Directed,1105.685111635,2021-06-18T22:33:15
0x268d3a8c4701000546dd0bf959bf6c8956cc3e5e,0xed034b287ea77a14970f1c0c8682a80a9468dbb3,Directed,930.520929396,2021-06-18T22:34:05
0x80a40db7895dce583344b87453ece862e4affa1b,0x729dcbdfebcc0741b845256e764ece7f4db55ccc,Directed,1105.685111635,2021-06-18T22:38:40
0x51a528da1083ba23943ba2092ee2a278c8715779,0x1ded182dfb58f3253787fb880b55023d8f6f5305,Directed,1658.527667453,2021-06-18T22:44:36
0x6fcade9de3ab9a1e57eab1684cf30e2ceba234fb,0xa442ddf27063320789b59a8fdca5b849cd2cdeac,Directed,1769.096178616,2021-06-18T22:46:50
0x80a40db7895dce583344b87453ece862e4affa1b,0xa0fec1a6b8453873041c7529906de5c1acc1b26a,Directed,1769.096178616,2021-06-18T22:48:51
0xa637522a82f89ec36fb358382c8b01610a4b5432,0xa0fec1a6b8453873041c7529906de5c1acc1b26a,Directed,1658.527667453,2021-06-18T22:51:46
0x34805e6a3796fb04e82183667a78c2f7bff29170,0x18d2b9b37b576b8f1a04d7d909c2efc991bcf52e,Directed,1769.096178616,2021-06-18T22:52:28
0x759c88c151029d0d39c2409e7fd6612af6e46214,0xa0fec1a6b8453873041c7529906de5c1acc1b26a,Directed,1636.41396522,2021-06-18T22:53:19
0x73ee60f0baa9da6a24b91542d1a5acc2bc5efdf2,0x3e64014d2d3f0c3a3b0404110cea9060b4565e61,Directed,1481.618049591,2021-06-18T22:53:32
0xbce3bd3b206946abbe094903ae2b4244b52fb4e9,0xd8fbd6a7f35b8af94910259d103dc261af913b3c,Directed,1326.822133962,2021-06-18T22:54:24
0x0a2d58e423ba3beadcef9b14b684f52e23aba71e,0x12b33be08ad1fb63aa7c71ac8c6ad73e3b607123,Directed,1625.357114104,2021-06-18T22:54:39
0x20ac3cbf53483d9ee591c033942d841f78a70ac2,0xd8fbd6a7f35b8af94910259d103dc261af913b3c,Directed,1216.253622799,2021-06-18T22:54:57
0x3c2b4bdcd2f742c55186fc599cb733a127e2b8ab,0x64bbdee28c44a070cd85d4a6f8f7917456ca10c1,Directed,1525.845454056,2021-06-18T22:56:22
0x49fbb9f90e78dd1c0569816e1eeeaf2c28414ed7,0x3e124dd3c7fb8c40964d7b2b1f6ef2adec803791,Directed,1658.527667453,2021-06-18T22:56:41
0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,0x64bbdee28c44a070cd85d4a6f8f7917456ca10c1,Directed,1525.845454056,2021-06-18T22:57:33
0xd23b06012790e2d8e01a7607127588b609c27f0c,0xa4bfa0cdc6bbe03bb90f8be6b80f0fed46271a4c,Directed,1547.959156289,2021-06-18T22:59:43
0x34805e6a3796fb04e82183667a78c2f7bff29170,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,Directed,1777.24829444,2021-06-18T23:00:02
0x49fbb9f90e78dd1c0569816e1eeeaf2c28414ed7,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,Directed,1666.170276037,2021-06-18T23:01:23
0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,0x4ea1577b6c155a588a6c18767e6faaef51091ac2,Directed,1666.170276037,2021-06-18T23:06:00
0xf395a343e9627e02669ff250ef3115625acbe58b,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,Directed,1666.170276037,2021-06-18T23:06:07
0xd8fbd6a7f35b8af94910259d103dc261af913b3c,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,Directed,1599.523464996,2021-06-18T23:09:14
0x6fcade9de3ab9a1e57eab1684cf30e2ceba234fb,0xde67c92c7281de52097880412ea2dc2f85e578a6,Directed,1732.817087079,2021-06-18T23:10:58
0x51a528da1083ba23943ba2092ee2a278c8715779,0xa06c0c2b2ce1918a148e5c6ea9f32a374ef44ba8,Directed,1555.092257635,2021-06-18T23:11:20
0x6cd2d84298f731fa443061255a9a84a09dbca769,0x27b14aabbb21ab9500f7121854a0dc9b10c8354e,Directed,1621.739068676,2021-06-18T23:13:13
0x20ac3cbf53483d9ee591c033942d841f78a70ac2,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,Directed,1610.631266836,2021-06-18T23:14:30
0x729dcbdfebcc0741b845256e764ece7f4db55ccc,0x32a88f097056c773569abb6a3cf8d88228466e00,Directed,1588.415663156,2021-06-18T23:16:56
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0x020ca66c30bec2c4fe3861a94e4db4a498a35872,Directed,1555.092257635,2021-06-18T23:17:21
0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,0xae21b4878b6fafd6915922325d9eda826f14b3fa,Directed,1510.661050274,2021-06-18T23:18:17
0x2465bd53a0e4f726dc6bf059e07979715c44dc0b,0x5f6957d64e0dc8711654be3d3bf792aedd83a0e6,Directed,1466.229842913,2021-06-18T23:19:09
0xfda34256c604fd3ce717440d240a4b02fdd73b40,0x53722a32fddda871f35ef628b252d349744d4b71,Directed,1332.93622083,2021-06-18T23:20:03
0x54b174179ae825ed630da40b625bb3c883cd40ae,0xbb071066a805e1cf8552225eb62bb69ca6a950a5,Directed,1555.092257635,2021-06-18T23:20:19
0x8ab83d869f2bc250b781d26f6584fd5c562fdd9d,0x7c297cb2e39aaab3612e1627457acb2a3995eabb,Directed,1532.876653954,2021-06-18T23:20:36
0xfda34256c604fd3ce717440d240a4b02fdd73b40,0x32a88f097056c773569abb6a3cf8d88228466e00,Directed,1266.289409788,2021-06-18T23:20:36
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xbb071066a805e1cf8552225eb62bb69ca6a950a5,Directed,1554.870101598,2021-06-18T23:21:58
0x54b174179ae825ed630da40b625bb3c883cd40ae,0xbb071066a805e1cf8552225eb62bb69ca6a950a5,Directed,1555.092257635,2021-06-18T23:22:53
0x72fae93d08a060a7f0a8919708c0db74ca46cbb6,0xc64e452c0c0ece08f7b3e96a05a6b7f552a48b4e,Directed,1466.229842913,2021-06-18T23:23:04
