Source,Target,Type,Weight,Timeset
0x8e05bd9fa3059ec69c15bc1a6f4d94f0ac26ce00,0x0b742783bfac8d4b6d332e5d1b63f433fcd8c0a0,Directed,440.049690666,2021-04-30T12:38:59
0x88be3fa60ede9f532af10aba5690dfc254db929b,0x0b742783bfac8d4b6d332e5d1b63f433fcd8c0a0,Directed,277.121431207,2021-05-01T00:15:48
0x3d6a89c8751a45dd577a4c1f3b34e71c58236193,0x09238a2aa20600e9773990677d17fef91e688523,Directed,221.697144966,2021-05-01T00:50:09
0x3d6a89c8751a45dd577a4c1f3b34e71c58236193,0x09238a2aa20600e9773990677d17fef91e688523,Directed,221.697144966,2021-05-01T00:51:32
0x9795a9baac2f17e7c7f11686bc6bc2afc3d84612,0x09238a2aa20600e9773990677d17fef91e688523,Directed,221.697144966,2021-05-01T00:51:32
0x3d6a89c8751a45dd577a4c1f3b34e71c58236193,0x6a5230f88106d77151d715e4df95009c3581bb3a,Directed,221.284114524,2021-05-01T01:07:13
0x6d938cbe86b4763691f702577d4046f656acb3c8,0xd5a771da32a392036a98f7da6b11d46d6d1c61f9,Directed,282.825372531,2021-05-01T02:17:29
0x33569c101562e1faf5b24581057e5cee4c8288d7,0x9795a9baac2f17e7c7f11686bc6bc2afc3d84612,Directed,564.167273167,2021-05-01T02:17:29
0xd657860fc512ec2250a7385a353f599e3276fddb,0xd559eb2bdf862d7a82d716050d56599f03ef44e7,Directed,282.825372531,2021-05-01T02:17:39
0x6d938cbe86b4763691f702577d4046f656acb3c8,0xd4a08cf067c83d1b2cc1d26831569b7850804be7,Directed,339.390447037,2021-05-01T02:24:21
0x6d938cbe86b4763691f702577d4046f656acb3c8,0xd5a771da32a392036a98f7da6b11d46d6d1c61f9,Directed,339.390447037,2021-05-01T02:35:37
0x4ea1577b6c155a588a6c18767e6faaef51091ac2,0xd5a771da32a392036a98f7da6b11d46d6d1c61f9,Directed,339.390447037,2021-05-01T02:42:09
0x4ea1577b6c155a588a6c18767e6faaef51091ac2,0xd5a771da32a392036a98f7da6b11d46d6d1c61f9,Directed,311.107909784,2021-05-01T02:45:16
0xd657860fc512ec2250a7385a353f599e3276fddb,0x33ec0710a48f5698ff4b841261cec205842c60af,Directed,282.825372531,2021-05-01T02:47:01
0x4ea1577b6c155a588a6c18767e6faaef51091ac2,0x1643794f998b9c35895e197f6e6b6ca5129708b8,Directed,283.49062781,2021-05-01T03:08:08
0x09238a2aa20600e9773990677d17fef91e688523,0xc3a3637bad4bce379e2bec17544451c17f42b18b,Directed,226.792502248,2021-05-01T03:24:21
0x3d6a89c8751a45dd577a4c1f3b34e71c58236193,0x5404cab11dbd30fd00069d473c621cd2c7b6ae66,Directed,226.792502248,2021-05-01T03:28:31
0x4ea1577b6c155a588a6c18767e6faaef51091ac2,0x6cd2d84298f731fa443061255a9a84a09dbca769,Directed,340.188753372,2021-05-01T03:31:08
0xc5b46513ea71294ba740e115f88b697c26d25c8b,0x15f7320adb990020956d29edb6ba17f3d468001e,Directed,368.537816153,2021-05-01T03:31:08
0x09238a2aa20600e9773990677d17fef91e688523,0x94c656883f4af54a64ec17211cbe05dc663e5cd4,Directed,226.792502248,2021-05-01T03:38:14
0x15f7320adb990020956d29edb6ba17f3d468001e,0xe38171c839d3ff70147829d843ee8f9794bc2299,Directed,425.235941715,2021-05-01T03:43:55
0x15f7320adb990020956d29edb6ba17f3d468001e,0xe38171c839d3ff70147829d843ee8f9794bc2299,Directed,340.188753372,2021-05-01T03:44:57
0x3df03ae2b4e5a2b82192031e13bca98a7e3fcc18,0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0,Directed,113.210843661,2021-05-01T03:50:22
0xd657860fc512ec2250a7385a353f599e3276fddb,0x9795a9baac2f17e7c7f11686bc6bc2afc3d84612,Directed,340.835863023,2021-05-01T04:06:28
0x6c8917547a0dd8d3a9658de9176837cfa9dd8933,0x50890e832fbf0cb59bada113ef42fbfd58f5ec1c,Directed,255.626897267,2021-05-01T04:08:40
0x3df03ae2b4e5a2b82192031e13bca98a7e3fcc18,0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0,Directed,113.5903196,2021-05-01T04:09:18
0x15f7320adb990020956d29edb6ba17f3d468001e,0x16a7cf1b739fc45d7ceac90ad6a7582126db4b00,Directed,284.029885852,2021-05-01T04:10:39
0x996e2ab0e5736d1988205c1792fa3ee6defac6aa,0x16a7cf1b739fc45d7ceac90ad6a7582126db4b00,Directed,312.432874438,2021-05-01T04:15:29
0x4ea1577b6c155a588a6c18767e6faaef51091ac2,0x14de2c6b28e0c4a06e140e7c91604faeeea350af,Directed,213.022414389,2021-05-01T04:24:08
0x4ea1577b6c155a588a6c18767e6faaef51091ac2,0x90738f6cef16c06dfb430bdd44426be23bb75aab,Directed,255.626897267,2021-05-01T04:25:49
0xb33195fff8bb06ad6813bc13a9b21bb76ff28758,0x405020c797a64f155c9966c88e5c677b2dbca5ab,Directed,397.641840193,2021-05-01T04:28:55
0x5c48b927f2488e5b0b15bbac6721b1e6dc007d68,0x50890e832fbf0cb59bada113ef42fbfd58f5ec1c,Directed,454.447817364,2021-05-01T04:40:17
0x6d938cbe86b4763691f702577d4046f656acb3c8,0x3734c5ff3db6378fd4fed019ec6ff347350a17c3,Directed,426.044828779,2021-05-01T04:42:14
0x6d938cbe86b4763691f702577d4046f656acb3c8,0x2b9324f66b7733202261777726d8f9720285cb8a,Directed,340.835863023,2021-05-01T04:59:19
