Source,Target,Type,Weight,Timeset
0xd91dc7c83bd01b91cb25019dfc4e35bc6faab814,0x05ae78dd0dfdcb23f1b09186d07f0bd3dfcba4f2,Directed,569.073731972,2021-09-28T19:10:35
0x20ba96808959ab8f15b5948ec3c239598c8eb8f0,0xcf54b70bf3cec789dea3b7b2a01d3147cd6cd0ef,Directed,1195.054837142,2021-09-28T19:12:13
0xa1f6e60b2c65a660580671764933247562c901a4,0xb002e792c58dbfb0d8738a4ed3c0a8612f05862e,Directed,853.610597959,2021-09-28T19:18:15
0xa0e68b6e65ee3f51ca11bf6af6b081ca45e75e4e,0x6266db517a8d1e2b4c61ecb48cde4d05a5e44990,Directed,1052.786404149,2021-09-28T19:19:09
0x1a33c8c8f10ea42fadcc0a7a368e86c51ff20932,0xc40df87e16339f21fbb2e59fb38bf2a957a16ffd,Directed,853.610597959,2021-09-28T19:19:56
0xa1f6e60b2c65a660580671764933247562c901a4,0xc40df87e16339f21fbb2e59fb38bf2a957a16ffd,Directed,853.610597959,2021-09-28T19:20:56
0x050f11524c028e28b2924a1951ace014c4b3da03,0xcf54b70bf3cec789dea3b7b2a01d3147cd6cd0ef,Directed,825.15691136,2021-09-28T19:21:23
0xbfd533629e8325f9cf1bb32cfdf3b9d5e60aa8c3,0xc40df87e16339f21fbb2e59fb38bf2a957a16ffd,Directed,853.610597959,2021-09-28T19:22:33
0x06ad19e1c49e4c58715c9f2b122e1ee65b77dcb5,0xb7dc1c26f1b893d4183d8014e341d1c6feb0b257,Directed,850.765229299,2021-09-28T19:22:49
0xf481861810e0670b591b774434ad6c3f3ad84e53,0xdb75ae62eec74e21d193ad27713c703a9bc84ead,Directed,938.971657755,2021-09-28T19:23:17
0xe11a50e299121db7849cb28604917cd615dc1bcc,0x4bb88adc1e40ec1bb42721b4eab574b1229b4a76,Directed,853.610597959,2021-09-28T19:23:27
0x72b5e4cb41aa7f4aea2751af49c0bef064d3de75,0xcf54b70bf3cec789dea3b7b2a01d3147cd6cd0ef,Directed,822.3115427,2021-09-28T19:23:52
0xd4cf9035b423b81e0b66a5d6c9b64b725bf18bb1,0x90451243ad2d7da2229fcaa263f460dff2e375ce,Directed,711.342164966,2021-09-28T19:24:24
0xbb04979a8a6df58395e885f2db41a247a096a010,0x641dd730c80d6559ae15ced5fed08ab2826a6e6a,Directed,654.434791768,2021-09-28T19:24:51
0x2bd3ae0e66ad1a57681b57433df33c3d7cce1437,0x90451243ad2d7da2229fcaa263f460dff2e375ce,Directed,597.527418571,2021-09-28T19:26:54
0xe4cea415ef71facb434dac76159be0bb5394b756,0x6266db517a8d1e2b4c61ecb48cde4d05a5e44990,Directed,796.703224761,2021-09-28T19:26:54
0x116e089d643e50f9395d34ca3ac45bc0680558f8,0xdb75ae62eec74e21d193ad27713c703a9bc84ead,Directed,625.98110517,2021-09-28T19:26:56
0xd435231bed0d4de8541d94ec93e1e094ae633b72,0xb002e792c58dbfb0d8738a4ed3c0a8612f05862e,Directed,682.888478367,2021-09-28T19:26:56
0x39f8c1f090e6739966e01a4d2fc210b110c9bf8e,0xb002e792c58dbfb0d8738a4ed3c0a8612f05862e,Directed,570.550444323,2021-09-28T19:26:56
0xf12229dfd4ecf132b33bdd12627ee66b81d4a126,0x92e9b91aa2171694d740e7066f787739ca1af9de,Directed,512.166358775,2021-09-28T19:26:56
0x92dc4cedf7c1cf3988f515ff15feb249873069ae,0xdb75ae62eec74e21d193ad27713c703a9bc84ead,Directed,566.228363313,2021-09-28T19:27:30
0xbd717a7ce98b22b085388411be80ff007f0fb828,0xcf54b70bf3cec789dea3b7b2a01d3147cd6cd0ef,Directed,597.527418571,2021-09-28T19:28:04
