Source,Target,Type,Weight,Timeset
0xbff231712560ae7a8773a3969f247ba85359664d,0x7ca2b8b8a6c81cbd6d69267bc7854273d048294d,Directed,20788.050599202,2021-05-03T16:45:50
0x62bdc64a14405e797f86796ea3c2476209ee0bf9,0xd768d9ed2b911da67d09b7371af0f648a6ac6654,Directed,12438.625502565,2021-05-03T17:01:57
0x62bdc64a14405e797f86796ea3c2476209ee0bf9,0x821020d081652df0a704822897c1fa064963304f,Directed,13093.2900027,2021-05-03T17:04:47
0x37dd733885b76beb617abf2c790c1a75eab6f82a,0xb30452beca9c462bc6773582c9e0d70cc60e7321,Directed,8510.638501755,2021-05-03T17:12:06
0xddfdcb21c935e8432a559cf689c83695b27a4177,0xd7510a925475cb8377bc8d2a7f1c792022b68df8,Directed,6546.64500135,2021-05-03T17:13:36
0x62bdc64a14405e797f86796ea3c2476209ee0bf9,0x308bff328370fc4a9683ab9fcd79a21be6dc5ee4,Directed,4909.983751012,2021-05-03T17:15:30
0x0a2191f92f7234453e90bc30439b6671b9dcc4a9,0xd7510a925475cb8377bc8d2a7f1c792022b68df8,Directed,5564.648251147,2021-05-03T17:16:36
0xdcafb6d3223cf31234cff6ec6c6956cb190825f5,0xa912a779ac36f018ebde0032d13e0d065be28751,Directed,6546.64500135,2021-05-03T17:20:22
0x6396ef1c07949476aabae95c926872ba2dacdcaf,0xa98ed85e8408e5331d4330a1b9c661bd94fb848e,Directed,5891.980501215,2021-05-03T17:20:34
0xe5c4c41194901047523108bb47eb109781a1a86a,0x6a7a355325057d9e88c4638b726960deb4982a7b,Directed,5728.314376181,2021-05-03T17:22:49
0x8aa81f482d236c509fc37ed4be792d4b1d15dd97,0xab61cc776cc19af7e99d3ba4539435311fa74e8a,Directed,7201.309501485,2021-05-03T17:23:30
0xe5c4c41194901047523108bb47eb109781a1a86a,0x09238a2aa20600e9773990677d17fef91e688523,Directed,5728.314376181,2021-05-03T17:24:02
0xbca6da24cdf77c2103773bc460dbd6d915f3ec82,0xd7510a925475cb8377bc8d2a7f1c792022b68df8,Directed,5237.31600108,2021-05-03T17:24:38
0x40a628d16be2ba6956f60402b17f52e8bfe32497,0x6f70f8c55a0a187bee0202f5a85d9b43b5d07296,Directed,6546.64500135,2021-05-03T17:24:53
0x035e8a0a57f24fd10d447c6ce44524513dd6e09c,0x40a628d16be2ba6956f60402b17f52e8bfe32497,Directed,11250.40943482,2021-05-03T17:25:56
0xe5c4c41194901047523108bb47eb109781a1a86a,0xd7510a925475cb8377bc8d2a7f1c792022b68df8,Directed,4909.983751012,2021-05-03T17:26:08
0x62bdc64a14405e797f86796ea3c2476209ee0bf9,0x75ddb7ab958135bbe2dab48d6286826f6aa5e3b4,Directed,4909.983751012,2021-05-03T17:26:54
0xa0678be2dc39ca452585927754b85e09ed1cc288,0xecba5f51925e6ccec26da38dcd7d5305f6bdfbcb,Directed,5564.648251147,2021-05-03T17:28:25
0x44b6bae035f67bfa1853a32b9b98c7a95a00f4e4,0xa98ed85e8408e5331d4330a1b9c661bd94fb848e,Directed,6382.978876316,2021-05-03T17:29:17
