Source,Target,Type,Weight,Timeset
0x88b5023b39135adfeec441c71279d86638400468,0x819ddd47170d645de9f4e39efb1dc73251e3f39a,Directed,2492.465909367,2021-12-13T17:20:20
0x3383b5b049010330c06c45bd188d2ee519c8ebd9,0xc45ac8feab58b0217a8cb8bff1184404bdb234bf,Directed,1917.281468744,2021-12-13T17:21:21
0x9ab6d45c2c220e55f7585f268a71982caf775210,0xb80113e639c051ccd3cdf9665c05315b8dc191ad,Directed,1840.590209994,2021-12-13T17:21:21
0x897a4a5f17a438023511e0e265395881eafa5ff5,0x9dbd781eeba135ad2a779926880adc89196a3265,Directed,1495.47954562,2021-12-13T17:21:25
0xaf8e191994e4b1024257becd94a22d097c2f958a,0x1af331dc34dd7c5c62af28b5685328318b61888a,Directed,1840.590209994,2021-12-13T17:21:25
0x95fee8ad1f46a8d742e7570252aff63c862b5f6d,0xebd3fcf8e9ab8e3b6c1ae99dcf64d2b378c09362,Directed,1917.281468744,2021-12-13T17:22:05
0xd42787bf70ca6c46bad3cc8edf7de2e2524e6628,0x9dbd781eeba135ad2a779926880adc89196a3265,Directed,1798.410017682,2021-12-13T17:22:17
0x95fee8ad1f46a8d742e7570252aff63c862b5f6d,0xc74a99e8c7616892f460d233652c0db367d67fe1,Directed,1917.281468744,2021-12-13T17:22:22
0x7b8a6e7777793614f27799199e32e80f03d18dbe,0x538df212def9d27b646b733cb267a69cbe1b77ad,Directed,1725.55332187,2021-12-13T17:22:36
0x0dc560b7b20735f3a9e8dc7d034429385b55ce31,0x1af331dc34dd7c5c62af28b5685328318b61888a,Directed,1529.990612058,2021-12-13T17:23:12
0xbd717a7ce98b22b085388411be80ff007f0fb828,0x6ee689247316c6ba5401fe05d9b2da04547fa9eb,Directed,1533.825174995,2021-12-13T17:23:12
0xefabe43b194c086ec7b0f83de84cc73f5155bb08,0x538df212def9d27b646b733cb267a69cbe1b77ad,Directed,1457.133916245,2021-12-13T17:23:37
0xf914209fbfb74b2942ecd8890383c5b9d8541535,0xa88ae2c098a3ad39184a4d64c6ddb39a237531b2,Directed,1529.990612058,2021-12-13T17:23:37
0xfdc70446034126e6d5c0bd311554213607ab657e,0x4763f300c34b5231b011e045a1211679602f39f2,Directed,2300.737762493,2021-12-13T17:23:37
0xf2b20e0681d2921681347c5657a9ab4bee2e8258,0xafec76506ec681acbcbd023844a715a6c53bdf8e,Directed,1437.961101558,2021-12-13T17:24:08
0xe66e39343d48af67fb1679697fca58b08b638459,0x1f675b7b79b2db901efb5ad7a1462b9e731396a0,Directed,1533.825174995,2021-12-13T17:24:08
0xf2b20e0681d2921681347c5657a9ab4bee2e8258,0xe91c4ec4a439ec9d6b11ef8d1df11b35142df7c9,Directed,1437.961101558,2021-12-13T17:24:29
0x348c8038fa9b6ccad7b0c9b28c55315a64fc3343,0xc51a41b5d1b4ddf3494ba31a37d54960808729d2,Directed,149.547954562,2021-12-13T17:24:29
0x524966ce4d652a7198bec435a258faffe269b43a,0x7f04eb7ba1a3a05f6cb1100dd0173d68af94a728,Directed,1342.097028121,2021-12-13T17:24:59
0xb9a1d5c1a24172fda173888286da453d3a7da28f,0x538df212def9d27b646b733cb267a69cbe1b77ad,Directed,1342.097028121,2021-12-13T17:25:13
0x1f9b1b6b9b696c39e664e1df2162ae0240cc0423,0x39036d4acff464ae2eead1841752689effc9a8c6,Directed,1456.367003658,2021-12-13T17:25:13
0xb9a1d5c1a24172fda173888286da453d3a7da28f,0x8114e78965b7f7e52e35b2cfbe33973a4ef320cb,Directed,1299.916835808,2021-12-13T17:25:13
0x79261a7ceec687d6151e81cbbebdbf840302035e,0x3383b5b049010330c06c45bd188d2ee519c8ebd9,Directed,1380.442657496,2021-12-13T17:25:13
0xe66e39343d48af67fb1679697fca58b08b638459,0x7198e91edbb4b366aa4c3acd653fd3d137610bfa,Directed,1457.133916245,2021-12-13T17:25:13
0xf2b20e0681d2921681347c5657a9ab4bee2e8258,0x1b6f1a2527de610f6e2d58b0c7b8bc888822781d,Directed,1437.961101558,2021-12-13T17:25:35
0xcc3eccf3a756850d02c4c455547ba59f49595565,0x8c400ddc6fa2568a9e858b245c558a0e270c65ff,Directed,1342.097028121,2021-12-13T17:25:35
0xcf3f869638a6972a52786e49b51f49d5de629abe,0x89e2ad6fd0a0a3dc3f310761be52e246b14e1575,Directed,1342.097028121,2021-12-13T17:25:38
0x0c08cf8f1e3cdc6ce4d8176d28fdca2cb9478821,0x42bdda70f1cee57c92ca413282fd7b58962b5384,Directed,1150.368881246,2021-12-13T17:25:38
