Source,Target,Type,Weight,Timeset
0x537038d516e7e71bff78a555799ce0daa01e79a1,0x4ce96aacbf4a605084d757141be016de8431b285,Directed,161.889639612,2021-07-22T20:19:24
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0xad1e365152589d3501340af5c004bfa1ef0d724a,Directed,109.275506738,2021-07-22T20:21:58
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0x302c8b11c4af766d5c03e27a8d7589c17540bdbd,Directed,117.369988719,2021-07-22T20:22:07
0x4a93a25509947d0744efc310ae23c1a15be7c19b,0x302c8b11c4af766d5c03e27a8d7589c17540bdbd,Directed,117.369988719,2021-07-22T20:22:07
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0xb145726b71d948f4b4601ff2ef070f6d1d349c52,Directed,111.299127234,2021-07-22T20:22:28
0x081591764a13e72aeb6bed098e7da34063ea8ac4,0x41488921140aea53d5cdf5bf396c3d313ebda973,Directed,121.21486766,2021-07-22T20:22:38
0x18d175958209bd4b5c8b806f30f920fe290d7c97,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,Directed,111.299127234,2021-07-22T20:22:51
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0xb5e3ff0e677c4cc1d174699d989b5619b10d2143,Directed,117.369988719,2021-07-22T20:23:10
0x4cd28fad70ded71c085e967d1d87e5c3909adf5a,0x302c8b11c4af766d5c03e27a8d7589c17540bdbd,Directed,109.275506738,2021-07-22T20:23:10
0x1361a45abc727743b551594f27d1ee185178e890,0x7a70536c4d695b1ec9df972e91461e834bfb00e8,Directed,109.073144689,2021-07-22T20:23:10
0x5ed2f08d19c6c94cb26fbe806cbdcb1f9f2f234b,0x0ec804c32f79e5df24d509e4c9c79d722167ff1b,Directed,161.889639612,2021-07-22T20:23:10
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0x4b410ae7661774a9db543e2af24c712c12ea267b,Directed,111.299127234,2021-07-22T20:23:52
0x785267ce6a41da1943da6054e619d8686e2e62d3,0x4b410ae7661774a9db543e2af24c712c12ea267b,Directed,111.299127234,2021-07-22T20:23:52
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0x3141f76ef4c7709d978a27b38f2971751f88cf0f,Directed,117.369988719,2021-07-22T20:23:57
0x1341853f8f661a4e6e79cd1b349793f7d40fe731,0xd83c7bced50ba86f1c1fbf29abba278e3659f72a,Directed,111.299127234,2021-07-22T20:23:57
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0x0ec804c32f79e5df24d509e4c9c79d722167ff1b,Directed,113.322747729,2021-07-22T20:23:57
0x1341853f8f661a4e6e79cd1b349793f7d40fe731,0xcead03574e4b930ee871bf8bb49922148a63a8e6,Directed,101.181024758,2021-07-22T20:23:57
0x4cd28fad70ded71c085e967d1d87e5c3909adf5a,0x302c8b11c4af766d5c03e27a8d7589c17540bdbd,Directed,111.299127234,2021-07-22T20:24:54
0x2de321329a3ce5a6871ced3e6737b179e2ce299c,0xb5e3ff0e677c4cc1d174699d989b5619b10d2143,Directed,117.369988719,2021-07-22T20:24:54
0xf266ec07bced0c64514dc0f7ab1bbc56dc2aff9c,0xad1e365152589d3501340af5c004bfa1ef0d724a,Directed,121.417229709,2021-07-22T20:24:54
0x6004df4a6440d89643cc8c37871d5c79745ab711,0xde67c92c7281de52097880412ea2dc2f85e578a6,Directed,141.653434661,2021-07-22T20:25:12
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0xd83c7bced50ba86f1c1fbf29abba278e3659f72a,Directed,110.287316986,2021-07-22T20:25:12
0x2de321329a3ce5a6871ced3e6737b179e2ce299c,0xb1adc3a1298819c6b1d18c2af1081f04b8d53176,Directed,109.275506738,2021-07-22T20:25:12
0xf8a3db410668e79e1179fd54dfec9e78269694c0,0xb1adc3a1298819c6b1d18c2af1081f04b8d53176,Directed,110.287316986,2021-07-22T20:25:33
