,date,search_count
0,2021-11-16,53
1,2021-11-17,0
2,2021-11-18,0
3,2021-11-19,0
4,2021-11-20,0
5,2021-11-21,100
6,2021-11-22,0
7,2021-11-23,62
8,2021-11-24,51
9,2021-11-25,0
10,2021-11-26,0
11,2021-11-27,0
12,2021-11-28,265
13,2021-11-29,0
14,2021-11-30,0
15,2021-12-01,100
16,2021-12-02,0
17,2021-12-03,66
18,2021-12-04,89
19,2021-12-05,73
20,2021-12-06,0
21,2021-12-07,0
22,2021-12-08,57
23,2021-12-09,0
24,2021-12-10,62
25,2021-12-11,198
26,2021-12-12,89
27,2021-12-13,136
28,2021-12-14,127
29,2021-12-15,0
30,2021-12-16,100
31,2021-12-17,66
32,2021-12-18,0
33,2021-12-19,90
34,2021-12-20,0
35,2021-12-21,130
36,2021-12-22,0
37,2021-12-23,68
38,2021-12-24,0
39,2021-12-25,100
40,2021-12-26,65
41,2021-12-27,0
42,2021-12-28,65
43,2021-12-29,0
44,2021-12-30,64
45,2021-12-31,100
46,2022-01-01,0
47,2022-01-02,0
48,2022-01-03,0
49,2022-01-04,0
50,2022-01-11,0
51,2022-01-12,100
52,2022-01-13,84
53,2022-01-14,0
54,2022-01-15,0
55,2022-01-16,0
56,2022-01-17,0
57,2022-01-18,0
58,2022-01-19,68
59,2022-01-20,0
60,2022-01-21,0
61,2022-01-22,99
62,2022-01-23,178
63,2022-01-24,121
64,2022-01-25,110
65,2022-01-26,0
66,2022-01-27,0
67,2022-01-28,55
68,2022-01-29,196
69,2022-01-30,0
70,2022-01-31,0
71,2022-02-01,216
72,2022-02-02,527
73,2022-02-03,0
74,2022-02-04,0
75,2022-02-05,317
76,2022-02-06,73
77,2022-02-07,0
78,2022-02-08,522
79,2022-02-09,444
80,2022-02-10,426
81,2022-02-11,517
82,2022-02-12,622
83,2022-02-13,739
84,2022-02-14,555
85,2022-02-15,501
86,2022-02-16,17
