,date,search_count
0,2021-11-23,0
1,2021-11-24,0
2,2021-11-25,100
3,2021-11-26,0
4,2021-11-27,0
5,2021-11-28,0
6,2021-11-29,0
7,2021-11-30,0
8,2021-12-01,0
9,2021-12-02,0
10,2021-12-03,100
11,2021-12-04,0
12,2021-12-05,0
13,2021-12-06,0
14,2021-12-07,0
15,2021-12-14,0
16,2021-12-15,172
17,2021-12-16,0
18,2021-12-17,0
19,2021-12-18,100
20,2021-12-19,0
21,2021-12-20,239
22,2021-12-21,20
23,2021-12-22,0
24,2021-12-23,0
25,2021-12-24,93
26,2021-12-25,189
27,2021-12-26,79
28,2021-12-27,177
29,2021-12-28,146
30,2021-12-29,116
31,2021-12-30,0
32,2021-12-31,71
33,2022-01-01,39
34,2022-01-02,87
35,2022-01-03,179
36,2022-01-04,320
37,2022-01-05,239
38,2022-01-06,168
39,2022-01-07,189
40,2022-01-08,100
41,2022-01-09,309
42,2022-01-10,154
43,2022-01-11,0
44,2022-01-12,122
45,2022-01-13,477
46,2022-01-14,67
47,2022-01-15,74
48,2022-01-16,0
49,2022-01-17,95
50,2022-01-18,97
51,2022-01-19,100
52,2022-01-20,0
53,2022-01-21,0
54,2022-01-22,92
55,2022-01-23,0
56,2022-01-24,0
57,2022-01-25,123
58,2022-01-26,0
59,2022-01-27,95
60,2022-01-28,100
61,2022-01-29,69
62,2022-01-30,0
63,2022-01-31,147
64,2022-02-01,252
65,2022-02-02,0
66,2022-02-03,93
67,2022-02-04,0
68,2022-02-05,100
69,2022-02-06,0
70,2022-02-07,96
71,2022-02-08,461
72,2022-02-09,521
73,2022-02-10,659
74,2022-02-11,686
75,2022-02-12,835
76,2022-02-13,483
77,2022-02-14,608
78,2022-02-15,848
79,2022-02-16,15
