,date,search_count
0,2021-11-16,739
1,2021-11-17,704
2,2021-11-18,571
3,2021-11-19,601
4,2021-11-20,442
5,2021-11-21,386
6,2021-11-22,425
7,2021-11-23,666
8,2021-11-24,507
9,2021-11-25,531
10,2021-11-26,575
11,2021-11-27,532
12,2021-11-28,672
13,2021-11-29,754
14,2021-11-30,694
15,2021-12-01,727
16,2021-12-02,651
17,2021-12-03,797
18,2021-12-04,643
19,2021-12-05,704
20,2021-12-06,533
21,2021-12-07,777
22,2021-12-08,780
23,2021-12-09,722
24,2021-12-10,588
25,2021-12-11,786
26,2021-12-12,838
27,2021-12-13,897
28,2021-12-14,885
29,2021-12-15,588
30,2021-12-16,716
31,2021-12-17,707
32,2021-12-18,529
33,2021-12-19,502
34,2021-12-20,471
35,2021-12-21,581
36,2021-12-22,520
37,2021-12-23,573
38,2021-12-24,595
39,2021-12-25,596
40,2021-12-26,534
41,2021-12-27,549
42,2021-12-28,574
43,2021-12-29,613
44,2021-12-30,696
45,2021-12-31,810
46,2022-01-01,802
47,2022-01-02,1205
48,2022-01-03,1131
49,2022-01-04,1231
50,2022-01-05,993
51,2022-01-06,1053
52,2022-01-07,761
53,2022-01-08,705
54,2022-01-09,917
55,2022-01-10,776
56,2022-01-11,624
57,2022-01-12,547
58,2022-01-13,493
59,2022-01-14,521
60,2022-01-15,499
61,2022-01-16,692
62,2022-01-17,593
63,2022-01-18,477
64,2022-01-19,530
65,2022-01-20,616
66,2022-01-21,1061
67,2022-01-22,926
68,2022-01-23,632
69,2022-01-24,584
70,2022-01-25,1004
71,2022-01-26,856
72,2022-01-27,753
73,2022-01-28,992
74,2022-01-29,1003
75,2022-01-30,1270
76,2022-01-31,939
77,2022-02-01,951
78,2022-02-02,758
79,2022-02-03,904
80,2022-02-04,684
81,2022-02-05,979
82,2022-02-06,975
83,2022-02-07,736
84,2022-02-08,1647
85,2022-02-09,1390
86,2022-02-10,1329
87,2022-02-11,1248
88,2022-02-12,1201
89,2022-02-13,1284
90,2022-02-14,1135
91,2022-02-15,1827
92,2022-02-16,73
