,date,search_count
0,2021-11-16,0
1,2021-11-17,31
2,2021-11-18,0
3,2021-11-19,92
4,2021-11-20,35
5,2021-11-21,0
6,2021-11-22,150
7,2021-11-23,0
8,2021-11-24,75
9,2021-11-25,0
10,2021-11-26,87
11,2021-11-27,57
12,2021-11-28,185
13,2021-11-29,153
14,2021-11-30,146
15,2021-12-01,0
16,2021-12-02,0
17,2021-12-03,60
18,2021-12-04,0
19,2021-12-05,174
20,2021-12-06,0
21,2021-12-07,81
22,2021-12-08,51
23,2021-12-09,0
24,2021-12-10,0
25,2021-12-11,100
26,2021-12-12,66
27,2021-12-13,0
28,2021-12-14,0
29,2021-12-15,0
30,2021-12-16,0
31,2021-12-17,0
32,2021-12-18,0
33,2021-12-19,100
34,2021-12-20,0
35,2021-12-21,0
36,2021-12-22,0
37,2021-12-23,100
38,2021-12-24,0
39,2021-12-25,0
40,2021-12-26,0
41,2021-12-27,0
42,2021-12-28,0
43,2021-12-29,0
44,2021-12-30,0
45,2021-12-31,0
46,2022-01-01,100
47,2022-01-02,119
48,2022-01-03,0
49,2022-01-04,125
50,2022-01-05,208
51,2022-01-06,57
52,2022-01-07,34
53,2022-01-08,78
54,2022-01-09,176
55,2022-01-10,27
56,2022-01-11,0
57,2022-01-12,0
58,2022-01-13,0
59,2022-01-14,100
60,2022-01-15,0
61,2022-01-16,0
62,2022-01-17,0
63,2022-01-18,55
64,2022-01-19,0
65,2022-01-20,0
66,2022-01-21,0
67,2022-01-22,0
68,2022-01-23,200
69,2022-01-24,56
70,2022-01-25,0
71,2022-01-26,0
72,2022-01-27,0
73,2022-01-28,0
74,2022-01-29,100
75,2022-01-30,0
76,2022-01-31,0
77,2022-02-01,84
78,2022-02-02,168
79,2022-02-03,0
80,2022-02-04,100
81,2022-02-05,0
82,2022-02-06,100
83,2022-02-07,0
84,2022-02-08,317
85,2022-02-09,356
86,2022-02-10,388
87,2022-02-11,545
88,2022-02-12,216
89,2022-02-13,403
90,2022-02-14,188
91,2022-02-15,817
92,2022-02-16,49
