,date,search_count
0,2021-11-16,558
1,2021-11-17,597
2,2021-11-18,543
3,2021-11-19,465
4,2021-11-20,441
5,2021-11-21,458
6,2021-11-22,430
7,2021-11-23,741
8,2021-11-24,546
9,2021-11-25,566
10,2021-11-26,710
11,2021-11-27,386
12,2021-11-28,568
13,2021-11-29,527
14,2021-11-30,525
15,2021-12-01,400
16,2021-12-02,495
17,2021-12-03,536
18,2021-12-04,363
19,2021-12-05,507
20,2021-12-06,514
21,2021-12-07,665
22,2021-12-08,822
23,2021-12-09,642
24,2021-12-10,591
25,2021-12-11,757
26,2021-12-12,575
27,2021-12-13,697
28,2021-12-14,323
29,2021-12-15,400
30,2021-12-16,425
31,2021-12-17,305
32,2021-12-18,302
33,2021-12-19,291
34,2021-12-20,299
35,2021-12-21,733
36,2021-12-22,559
37,2021-12-23,536
38,2021-12-24,611
39,2021-12-25,569
40,2021-12-26,389
41,2021-12-27,344
42,2021-12-28,521
43,2021-12-29,522
44,2021-12-30,486
45,2021-12-31,411
46,2022-01-01,337
47,2022-01-02,386
48,2022-01-03,546
49,2022-01-04,486
50,2022-01-05,646
51,2022-01-06,413
52,2022-01-07,692
53,2022-01-08,583
54,2022-01-09,446
55,2022-01-10,463
56,2022-01-11,484
57,2022-01-12,458
58,2022-01-13,356
59,2022-01-14,636
60,2022-01-15,527
61,2022-01-16,546
62,2022-01-17,567
63,2022-01-18,398
64,2022-01-19,406
65,2022-01-20,371
66,2022-01-21,664
67,2022-01-22,682
68,2022-01-23,425
69,2022-01-24,468
70,2022-01-25,450
71,2022-01-26,365
72,2022-01-27,303
73,2022-01-28,481
74,2022-01-29,291
75,2022-01-30,511
76,2022-01-31,354
77,2022-02-01,504
78,2022-02-02,364
79,2022-02-03,601
80,2022-02-04,397
81,2022-02-05,656
82,2022-02-06,691
83,2022-02-07,501
84,2022-02-08,1062
85,2022-02-09,1045
86,2022-02-10,923
87,2022-02-11,811
88,2022-02-12,932
89,2022-02-13,1250
90,2022-02-14,1044
91,2022-02-15,1718
92,2022-02-16,54
