,date,search_count
0,2021-11-16,373
1,2021-11-17,163
2,2021-11-18,228
3,2021-11-19,258
4,2021-11-20,191
5,2021-11-21,235
6,2021-11-22,85
7,2021-11-23,192
8,2021-11-24,26
9,2021-11-25,183
10,2021-11-26,214
11,2021-11-27,182
12,2021-11-28,315
13,2021-11-29,336
14,2021-11-30,264
15,2021-12-01,329
16,2021-12-02,290
17,2021-12-03,181
18,2021-12-04,315
19,2021-12-05,176
20,2021-12-06,279
21,2021-12-07,275
22,2021-12-08,335
23,2021-12-09,358
24,2021-12-10,238
25,2021-12-11,516
26,2021-12-12,290
27,2021-12-13,416
28,2021-12-14,393
29,2021-12-15,109
30,2021-12-16,426
31,2021-12-17,217
32,2021-12-18,274
33,2021-12-19,0
34,2021-12-20,398
35,2021-12-21,177
36,2021-12-22,218
37,2021-12-23,179
38,2021-12-24,206
39,2021-12-25,106
40,2021-12-26,379
41,2021-12-27,285
42,2021-12-28,529
43,2021-12-29,135
44,2021-12-30,114
45,2021-12-31,60
46,2022-01-01,407
47,2022-01-02,511
48,2022-01-03,395
49,2022-01-04,254
50,2022-01-05,375
51,2022-01-06,61
52,2022-01-07,449
53,2022-01-08,353
54,2022-01-09,190
55,2022-01-10,99
56,2022-01-11,189
57,2022-01-12,242
58,2022-01-13,198
59,2022-01-14,313
60,2022-01-15,231
61,2022-01-16,348
62,2022-01-17,193
63,2022-01-18,391
64,2022-01-19,179
65,2022-01-20,309
66,2022-01-21,224
67,2022-01-22,167
68,2022-01-23,166
69,2022-01-24,323
70,2022-01-25,229
71,2022-01-26,590
72,2022-01-27,399
73,2022-01-28,0
74,2022-01-29,252
75,2022-01-30,262
76,2022-01-31,399
77,2022-02-01,129
78,2022-02-02,206
79,2022-02-03,218
80,2022-02-04,93
81,2022-02-05,228
82,2022-02-06,74
83,2022-02-07,110
84,2022-02-08,1208
85,2022-02-09,1157
86,2022-02-10,1002
87,2022-02-11,1160
88,2022-02-12,878
89,2022-02-13,869
90,2022-02-14,882
91,2022-02-15,1185
92,2022-02-16,30
