,date,search_count
0,2021-11-16,0
1,2021-11-17,224
2,2021-11-18,0
3,2021-11-19,0
4,2021-11-20,0
5,2021-11-21,63
6,2021-11-22,0
7,2021-11-23,122
8,2021-11-24,0
9,2021-11-25,0
10,2021-11-26,0
11,2021-11-27,0
12,2021-11-28,100
13,2021-11-29,24
14,2021-11-30,0
15,2021-12-01,60
16,2021-12-02,0
17,2021-12-03,100
18,2021-12-04,0
19,2021-12-05,0
20,2021-12-06,0
21,2021-12-07,89
22,2021-12-08,0
23,2021-12-09,175
24,2021-12-10,0
25,2021-12-11,100
26,2021-12-12,0
27,2021-12-13,0
28,2021-12-14,92
29,2021-12-15,98
30,2021-12-16,0
31,2021-12-17,100
32,2021-12-18,0
33,2021-12-19,0
34,2021-12-20,60
35,2021-12-21,95
36,2021-12-22,55
37,2021-12-23,0
38,2021-12-24,173
39,2021-12-25,0
40,2021-12-26,171
41,2021-12-27,100
42,2021-12-28,105
43,2021-12-29,57
44,2021-12-30,114
45,2021-12-31,372
46,2022-01-01,427
47,2022-01-02,669
48,2022-01-03,139
49,2022-01-04,378
50,2022-01-05,182
51,2022-01-06,57
52,2022-01-07,359
53,2022-01-08,233
54,2022-01-09,100
55,2022-01-10,80
56,2022-01-11,0
57,2022-01-12,0
58,2022-01-13,127
59,2022-01-14,153
60,2022-01-15,316
61,2022-01-16,163
62,2022-01-17,77
63,2022-01-18,130
64,2022-01-19,33
65,2022-01-20,105
66,2022-01-21,39
67,2022-01-22,152
68,2022-01-23,91
69,2022-01-24,95
70,2022-01-25,54
71,2022-01-26,198
72,2022-01-27,241
73,2022-01-28,228
74,2022-01-29,100
75,2022-01-30,365
76,2022-01-31,455
77,2022-02-01,364
78,2022-02-02,150
79,2022-02-03,166
80,2022-02-04,282
81,2022-02-05,123
82,2022-02-06,336
83,2022-02-07,161
84,2022-02-08,629
85,2022-02-09,632
86,2022-02-10,438
87,2022-02-11,516
88,2022-02-12,539
89,2022-02-13,637
90,2022-02-14,1074
91,2022-02-15,863
92,2022-02-16,100
