,date,search_count
0,2021-12-28,0
1,2021-12-29,0
2,2021-12-30,100
3,2021-12-31,0
4,2022-01-01,0
5,2022-01-02,0
6,2022-01-03,0
7,2022-01-04,0
8,2022-01-11,0
9,2022-01-12,0
10,2022-01-13,0
11,2022-01-14,83
12,2022-01-15,100
13,2022-01-16,0
14,2022-01-17,0
15,2022-01-18,0
16,2022-01-19,0
17,2022-01-20,0
18,2022-01-21,0
19,2022-01-22,0
20,2022-01-23,0
21,2022-01-24,100
22,2022-01-25,0
23,2022-01-26,84
24,2022-01-27,0
25,2022-01-28,100
26,2022-01-29,0
27,2022-01-30,0
28,2022-01-31,0
29,2022-02-01,0
30,2022-02-02,100
31,2022-02-03,0
32,2022-02-04,0
33,2022-02-05,0
34,2022-02-06,0
35,2022-02-07,0
36,2022-02-08,12
37,2022-02-09,27
38,2022-02-10,180
39,2022-02-11,103
40,2022-02-12,50
41,2022-02-13,76
42,2022-02-14,657
43,2022-02-15,731
44,2022-02-16,24
