,date,search_count
0,2021-12-07,0
1,2021-12-08,0
2,2021-12-09,0
3,2021-12-10,0
4,2021-12-11,100
5,2021-12-12,264
6,2021-12-13,0
7,2021-12-14,0
8,2021-12-15,0
9,2021-12-16,0
10,2021-12-17,100
11,2021-12-18,65
12,2021-12-19,0
13,2021-12-20,98
14,2021-12-21,0
15,2021-12-28,0
16,2021-12-29,0
17,2021-12-30,0
18,2021-12-31,100
19,2022-01-01,0
20,2022-01-02,82
21,2022-01-03,0
22,2022-01-04,91
23,2022-01-05,0
24,2022-01-06,234
25,2022-01-07,0
26,2022-01-08,0
27,2022-01-09,0
28,2022-01-10,0
29,2022-01-11,0
30,2022-01-18,0
31,2022-01-19,0
32,2022-01-20,0
33,2022-01-21,0
34,2022-01-22,100
35,2022-01-23,0
36,2022-01-24,0
37,2022-01-25,0
38,2022-02-01,0
39,2022-02-02,0
40,2022-02-03,0
41,2022-02-04,100
42,2022-02-05,0
43,2022-02-06,0
44,2022-02-07,0
45,2022-02-08,33
46,2022-02-09,30
47,2022-02-10,290
48,2022-02-11,338
49,2022-02-12,159
50,2022-02-13,72
51,2022-02-14,91
52,2022-02-15,91
53,2022-02-16,0
