,date,search_count
0,2021-12-28,142
1,2021-12-29,147
2,2021-12-30,247
3,2021-12-31,72
4,2022-01-01,71
5,2022-01-02,0
6,2022-01-03,241
7,2022-01-04,139
8,2022-01-05,60
9,2022-01-06,0
10,2022-01-07,0
11,2022-01-08,159
12,2022-01-09,100
13,2022-01-10,244
14,2022-01-11,281
15,2022-01-12,58
16,2022-01-13,0
17,2022-01-14,0
18,2022-01-15,0
19,2022-01-16,68
20,2022-01-17,0
21,2022-01-18,0
22,2022-01-25,0
23,2022-01-26,97
24,2022-01-27,100
25,2022-01-28,0
26,2022-01-29,93
27,2022-01-30,91
28,2022-01-31,0
29,2022-02-01,0
30,2022-02-08,185
31,2022-02-09,233
32,2022-02-10,87
33,2022-02-11,182
34,2022-02-12,222
35,2022-02-13,100
36,2022-02-14,96
37,2022-02-15,298
38,2022-02-16,0
