,date,search_count
0,2021-12-21,0
1,2021-12-22,92
2,2021-12-23,255
3,2021-12-24,0
4,2021-12-25,0
5,2021-12-26,0
6,2021-12-27,96
7,2021-12-28,0
8,2021-12-29,0
9,2021-12-30,0
10,2021-12-31,0
11,2022-01-01,0
12,2022-01-02,100
13,2022-01-03,54
14,2022-01-04,100
15,2022-01-05,0
16,2022-01-06,0
17,2022-01-07,84
18,2022-01-08,0
19,2022-01-09,0
20,2022-01-10,0
21,2022-01-11,0
22,2022-01-12,0
23,2022-01-13,0
24,2022-01-14,0
25,2022-01-15,0
26,2022-01-16,100
27,2022-01-17,81
28,2022-01-18,0
29,2022-01-25,0
30,2022-01-26,0
31,2022-01-27,100
32,2022-01-28,0
33,2022-01-29,0
34,2022-01-30,0
35,2022-01-31,0
36,2022-02-01,0
37,2022-02-08,13
38,2022-02-09,150
39,2022-02-10,79
40,2022-02-11,104
41,2022-02-12,46
42,2022-02-13,51
43,2022-02-14,221
44,2022-02-15,503
45,2022-02-16,24
