,date,search_count
0,2021-11-16,0
1,2021-11-17,0
2,2021-11-18,0
3,2021-11-19,100
4,2021-11-20,0
5,2021-11-21,0
6,2021-11-22,0
7,2021-11-23,0
8,2021-11-24,54
9,2021-11-25,0
10,2021-11-26,396
11,2021-11-27,290
12,2021-11-28,57
13,2021-11-29,32
14,2021-11-30,150
15,2021-12-01,184
16,2021-12-02,88
17,2021-12-03,168
18,2021-12-04,67
19,2021-12-05,83
20,2021-12-06,234
21,2021-12-07,88
22,2021-12-08,0
23,2021-12-09,185
24,2021-12-10,0
25,2021-12-11,0
26,2021-12-12,0
27,2021-12-13,66
28,2021-12-14,0
29,2021-12-15,100
30,2021-12-16,0
31,2021-12-17,0
32,2021-12-18,0
33,2021-12-19,0
34,2021-12-20,0
35,2021-12-21,0
36,2021-12-22,0
37,2021-12-23,0
38,2021-12-24,0
39,2021-12-25,100
40,2021-12-26,0
41,2021-12-27,0
42,2021-12-28,0
43,2021-12-29,54
44,2021-12-30,0
45,2021-12-31,83
46,2022-01-01,0
47,2022-01-02,173
48,2022-01-03,89
49,2022-01-04,169
50,2022-01-05,0
51,2022-01-06,114
52,2022-01-07,0
53,2022-01-08,167
54,2022-01-09,330
55,2022-01-10,54
56,2022-01-11,0
57,2022-01-12,0
58,2022-01-13,100
59,2022-01-14,0
60,2022-01-15,0
61,2022-01-16,0
62,2022-01-17,89
63,2022-01-18,0
64,2022-01-19,89
65,2022-01-20,62
66,2022-01-21,0
67,2022-01-22,194
68,2022-01-23,0
69,2022-01-24,0
70,2022-01-25,0
71,2022-01-26,0
72,2022-01-27,0
73,2022-01-28,0
74,2022-01-29,100
75,2022-01-30,0
76,2022-01-31,0
77,2022-02-01,0
78,2022-02-02,112
79,2022-02-03,0
80,2022-02-04,47
81,2022-02-05,180
82,2022-02-06,0
83,2022-02-07,65
84,2022-02-08,212
85,2022-02-09,336
86,2022-02-10,453
87,2022-02-11,292
88,2022-02-12,132
89,2022-02-13,250
90,2022-02-14,365
91,2022-02-15,207
92,2022-02-16,34
