,date,search_count
0,2021-12-14,0
1,2021-12-15,0
2,2021-12-16,0
3,2021-12-17,0
4,2021-12-18,0
5,2021-12-19,132
6,2021-12-20,540
7,2021-12-21,50
8,2021-12-22,0
9,2021-12-23,113
10,2021-12-24,156
11,2021-12-25,100
12,2021-12-26,134
13,2021-12-27,333
14,2021-12-28,220
15,2021-12-29,115
16,2021-12-30,112
17,2021-12-31,217
18,2022-01-01,0
19,2022-01-02,386
20,2022-01-03,580
21,2022-01-04,157
22,2022-01-05,150
23,2022-01-06,231
24,2022-01-07,106
25,2022-01-08,279
26,2022-01-09,294
27,2022-01-10,396
28,2022-01-11,118
29,2022-01-12,401
30,2022-01-13,310
31,2022-01-14,148
32,2022-01-15,130
33,2022-01-16,169
34,2022-01-17,69
35,2022-01-18,83
36,2022-01-19,59
37,2022-01-20,275
38,2022-01-21,42
39,2022-01-22,93
40,2022-01-23,50
41,2022-01-24,158
42,2022-01-25,0
43,2022-01-26,142
44,2022-01-27,107
45,2022-01-28,145
46,2022-01-29,0
47,2022-01-30,145
48,2022-01-31,136
49,2022-02-01,96
50,2022-02-02,225
51,2022-02-03,0
52,2022-02-04,230
53,2022-02-05,69
54,2022-02-06,275
55,2022-02-07,72
56,2022-02-08,472
57,2022-02-09,500
58,2022-02-10,684
59,2022-02-11,571
60,2022-02-12,384
61,2022-02-13,277
62,2022-02-14,192
63,2022-02-15,943
64,2022-02-16,76
