,date,search_count
0,2021-11-30,0
1,2021-12-01,0
2,2021-12-02,0
3,2021-12-03,0
4,2021-12-04,100
5,2021-12-05,0
6,2021-12-06,0
7,2021-12-07,0
8,2021-12-08,75
9,2021-12-09,0
10,2021-12-10,0
11,2021-12-11,0
12,2021-12-12,100
13,2021-12-13,0
14,2021-12-14,0
15,2021-12-21,0
16,2021-12-22,0
17,2021-12-23,0
18,2021-12-24,93
19,2021-12-25,69
20,2021-12-26,100
21,2021-12-27,91
22,2021-12-28,100
23,2021-12-29,0
24,2021-12-30,0
25,2021-12-31,0
26,2022-01-01,0
27,2022-01-02,0
28,2022-01-03,0
29,2022-01-04,162
30,2022-01-05,60
31,2022-01-06,80
32,2022-01-07,286
33,2022-01-08,69
34,2022-01-09,169
35,2022-01-10,0
36,2022-01-11,247
37,2022-01-12,253
38,2022-01-13,0
39,2022-01-14,0
40,2022-01-15,0
41,2022-01-16,100
42,2022-01-17,0
43,2022-01-18,0
44,2022-01-19,0
45,2022-01-20,0
46,2022-01-21,0
47,2022-01-22,100
48,2022-01-23,0
49,2022-01-24,86
50,2022-01-25,148
51,2022-01-26,0
52,2022-01-27,0
53,2022-01-28,51
54,2022-01-29,0
55,2022-01-30,157
56,2022-01-31,0
57,2022-02-01,78
58,2022-02-02,161
59,2022-02-03,59
60,2022-02-04,100
61,2022-02-05,0
62,2022-02-06,137
63,2022-02-07,164
64,2022-02-08,155
65,2022-02-09,134
66,2022-02-10,162
67,2022-02-11,227
68,2022-02-12,540
69,2022-02-13,489
70,2022-02-14,204
71,2022-02-15,887
72,2022-02-16,50
