,date,search_count
0,2021-12-14,0
1,2021-12-15,0
2,2021-12-16,0
3,2021-12-17,0
4,2021-12-18,100
5,2021-12-19,0
6,2021-12-20,0
7,2021-12-21,0
8,2021-12-28,0
9,2021-12-29,0
10,2021-12-30,91
11,2021-12-31,100
12,2022-01-01,0
13,2022-01-02,0
14,2022-01-03,0
15,2022-01-04,100
16,2022-01-05,0
17,2022-01-06,96
18,2022-01-07,0
19,2022-01-08,0
20,2022-01-09,0
21,2022-01-10,0
22,2022-01-11,0
23,2022-02-08,147
24,2022-02-09,56
25,2022-02-10,164
26,2022-02-11,87
27,2022-02-12,100
28,2022-02-13,73
29,2022-02-14,67
30,2022-02-15,78
31,2022-02-16,0
