,date,search_count
0,2021-11-16,336
1,2021-11-17,497
2,2021-11-18,551
3,2021-11-19,272
4,2021-11-20,494
5,2021-11-21,603
6,2021-11-22,421
7,2021-11-23,388
8,2021-11-24,515
9,2021-11-25,437
10,2021-11-26,370
11,2021-11-27,519
12,2021-11-28,323
13,2021-11-29,377
14,2021-11-30,446
15,2021-12-01,278
16,2021-12-02,662
17,2021-12-03,582
18,2021-12-04,479
19,2021-12-05,581
20,2021-12-06,404
21,2021-12-07,274
22,2021-12-08,313
23,2021-12-09,325
24,2021-12-10,329
25,2021-12-11,437
26,2021-12-12,448
27,2021-12-13,325
28,2021-12-14,578
29,2021-12-15,620
30,2021-12-16,362
31,2021-12-17,392
32,2021-12-18,641
33,2021-12-19,476
34,2021-12-20,495
35,2021-12-21,461
36,2021-12-22,390
37,2021-12-23,394
38,2021-12-24,346
39,2021-12-25,267
40,2021-12-26,589
41,2021-12-27,461
42,2021-12-28,106
43,2021-12-29,113
44,2021-12-30,149
45,2021-12-31,168
46,2022-01-01,140
47,2022-01-02,623
48,2022-01-03,231
49,2022-01-04,590
50,2022-01-05,768
51,2022-01-06,277
52,2022-01-07,644
53,2022-01-08,575
54,2022-01-09,670
55,2022-01-10,417
56,2022-01-11,303
57,2022-01-12,722
58,2022-01-13,680
59,2022-01-14,523
60,2022-01-15,509
61,2022-01-16,464
62,2022-01-17,366
63,2022-01-18,436
64,2022-01-19,435
65,2022-01-20,599
66,2022-01-21,787
67,2022-01-22,455
68,2022-01-23,376
69,2022-01-24,348
70,2022-01-25,637
71,2022-01-26,884
72,2022-01-27,818
73,2022-01-28,731
74,2022-01-29,654
75,2022-01-30,565
76,2022-01-31,655
77,2022-02-01,442
78,2022-02-02,527
79,2022-02-03,497
80,2022-02-04,660
81,2022-02-05,580
82,2022-02-06,467
83,2022-02-07,268
84,2022-02-08,1670
85,2022-02-09,1521
86,2022-02-10,1542
87,2022-02-11,1543
88,2022-02-12,1577
89,2022-02-13,1658
90,2022-02-14,1525
91,2022-02-15,1444
92,2022-02-16,70
