,date,search_count
0,2021-12-28,0
1,2021-12-29,0
2,2021-12-30,0
3,2021-12-31,0
4,2022-01-01,0
5,2022-01-02,397
6,2022-01-03,422
7,2022-01-04,423
8,2022-01-05,0
9,2022-01-06,79
10,2022-01-07,43
11,2022-01-08,49
12,2022-01-09,0
13,2022-01-10,0
14,2022-01-11,100
15,2022-01-12,0
16,2022-01-13,0
17,2022-01-14,0
18,2022-01-15,0
19,2022-01-16,0
20,2022-01-17,0
21,2022-01-18,0
22,2022-01-19,0
23,2022-01-20,100
24,2022-01-21,0
25,2022-01-22,0
26,2022-01-23,0
27,2022-01-24,0
28,2022-01-25,0
29,2022-02-01,0
30,2022-02-02,100
31,2022-02-03,0
32,2022-02-04,0
33,2022-02-05,0
34,2022-02-06,0
35,2022-02-07,0
36,2022-02-08,0
37,2022-02-09,0
38,2022-02-10,82
39,2022-02-11,182
40,2022-02-12,97
41,2022-02-13,100
42,2022-02-14,154
43,2022-02-15,30
44,2022-02-16,0
