,date,search_count
0,2021-11-16,249
1,2021-11-17,263
2,2021-11-18,0
3,2021-11-19,93
4,2021-11-20,258
5,2021-11-21,100
6,2021-11-22,89
7,2021-11-23,123
8,2021-11-24,81
9,2021-11-25,0
10,2021-11-26,230
11,2021-11-27,0
12,2021-11-28,259
13,2021-11-29,226
14,2021-11-30,279
15,2021-12-01,50
16,2021-12-02,131
17,2021-12-03,171
18,2021-12-04,253
19,2021-12-05,64
20,2021-12-06,72
21,2021-12-07,0
22,2021-12-08,288
23,2021-12-09,47
24,2021-12-10,81
25,2021-12-11,57
26,2021-12-12,0
27,2021-12-13,154
28,2021-12-14,132
29,2021-12-15,96
30,2021-12-16,95
31,2021-12-17,99
32,2021-12-18,0
33,2021-12-19,134
34,2021-12-20,39
35,2021-12-21,167
36,2021-12-22,59
37,2021-12-23,73
38,2021-12-24,182
39,2021-12-25,70
40,2021-12-26,100
41,2021-12-27,118
42,2021-12-28,134
43,2021-12-29,70
44,2021-12-30,0
45,2021-12-31,213
46,2022-01-01,51
47,2022-01-02,187
48,2022-01-03,44
49,2022-01-04,381
50,2022-01-05,135
51,2022-01-06,0
52,2022-01-07,200
53,2022-01-08,0
54,2022-01-09,309
55,2022-01-10,338
56,2022-01-11,44
57,2022-01-12,0
58,2022-01-13,146
59,2022-01-14,61
60,2022-01-15,89
61,2022-01-16,226
62,2022-01-17,67
63,2022-01-18,127
64,2022-01-19,381
65,2022-01-20,123
66,2022-01-21,231
67,2022-01-22,556
68,2022-01-23,207
69,2022-01-24,120
70,2022-01-25,399
71,2022-01-26,138
72,2022-01-27,57
73,2022-01-28,233
74,2022-01-29,206
75,2022-01-30,173
76,2022-01-31,304
77,2022-02-01,335
78,2022-02-02,403
79,2022-02-03,284
80,2022-02-04,123
81,2022-02-05,214
82,2022-02-06,160
83,2022-02-07,106
84,2022-02-08,414
85,2022-02-09,597
86,2022-02-10,446
87,2022-02-11,222
88,2022-02-12,207
89,2022-02-13,187
90,2022-02-14,162
91,2022-02-15,1003
92,2022-02-16,72
