,date,search_count
0,2021-12-07,65
1,2021-12-08,0
2,2021-12-09,0
3,2021-12-10,0
4,2021-12-11,0
5,2021-12-12,0
6,2021-12-13,100
7,2021-12-14,24
8,2021-12-15,0
9,2021-12-16,0
10,2021-12-17,0
11,2021-12-18,131
12,2021-12-19,226
13,2021-12-20,0
14,2021-12-21,0
15,2021-12-22,59
16,2021-12-23,148
17,2021-12-24,0
18,2021-12-25,95
19,2021-12-26,169
20,2021-12-27,0
21,2021-12-28,67
22,2021-12-29,0
23,2021-12-30,0
24,2021-12-31,0
25,2022-01-01,194
26,2022-01-02,66
27,2022-01-03,0
28,2022-01-04,289
29,2022-01-05,154
30,2022-01-06,181
31,2022-01-07,71
32,2022-01-08,71
33,2022-01-09,42
34,2022-01-10,0
35,2022-01-11,63
36,2022-01-12,93
37,2022-01-13,0
38,2022-01-14,100
39,2022-01-15,0
40,2022-01-16,89
41,2022-01-17,69
42,2022-01-18,121
43,2022-01-19,0
44,2022-01-20,100
45,2022-01-21,61
46,2022-01-22,0
47,2022-01-23,0
48,2022-01-24,0
49,2022-01-25,0
50,2022-01-26,0
51,2022-01-27,0
52,2022-01-28,93
53,2022-01-29,100
54,2022-01-30,0
55,2022-01-31,94
56,2022-02-01,100
57,2022-02-02,0
58,2022-02-03,136
59,2022-02-04,0
60,2022-02-05,0
61,2022-02-06,0
62,2022-02-07,0
63,2022-02-08,249
64,2022-02-09,150
65,2022-02-10,131
66,2022-02-11,193
67,2022-02-12,268
68,2022-02-13,726
69,2022-02-14,522
70,2022-02-15,444
71,2022-02-16,80
