,date,search_count
0,2021-11-16,229
1,2021-11-17,145
2,2021-11-18,59
3,2021-11-19,60
4,2021-11-20,0
5,2021-11-21,0
6,2021-11-22,0
7,2021-11-23,100
8,2021-11-24,0
9,2021-11-25,79
10,2021-11-26,76
11,2021-11-27,186
12,2021-11-28,0
13,2021-11-29,0
14,2021-11-30,0
15,2021-12-01,0
16,2021-12-02,0
17,2021-12-03,0
18,2021-12-04,100
19,2021-12-05,0
20,2021-12-06,0
21,2021-12-07,0
22,2021-12-08,0
23,2021-12-09,100
24,2021-12-10,0
25,2021-12-11,0
26,2021-12-12,0
27,2021-12-13,0
28,2021-12-14,0
29,2021-12-15,0
30,2021-12-16,0
31,2021-12-17,0
32,2021-12-18,0
33,2021-12-19,147
34,2021-12-20,174
35,2021-12-21,100
36,2021-12-22,0
37,2021-12-23,0
38,2021-12-24,0
39,2021-12-25,0
40,2021-12-26,0
41,2021-12-27,0
42,2021-12-28,74
43,2021-12-29,0
44,2021-12-30,77
45,2021-12-31,0
46,2022-01-01,86
47,2022-01-02,0
48,2022-01-03,252
49,2022-01-04,176
50,2022-01-05,0
51,2022-01-06,0
52,2022-01-07,95
53,2022-01-08,166
54,2022-01-09,99
55,2022-01-10,97
56,2022-01-11,235
57,2022-01-12,95
58,2022-01-13,84
59,2022-01-14,328
60,2022-01-15,88
61,2022-01-16,84
62,2022-01-17,73
63,2022-01-18,62
64,2022-01-19,220
65,2022-01-20,319
66,2022-01-21,87
67,2022-01-22,0
68,2022-01-23,420
69,2022-01-24,146
70,2022-01-25,140
71,2022-01-26,0
72,2022-01-27,0
73,2022-01-28,98
74,2022-01-29,0
75,2022-01-30,134
76,2022-01-31,200
77,2022-02-01,42
78,2022-02-02,43
79,2022-02-03,0
80,2022-02-04,0
81,2022-02-05,161
82,2022-02-06,57
83,2022-02-07,175
84,2022-02-08,684
85,2022-02-09,618
86,2022-02-10,871
87,2022-02-11,682
88,2022-02-12,656
89,2022-02-13,704
90,2022-02-14,646
91,2022-02-15,609
92,2022-02-16,0
