,date,search_count
0,2021-11-16,241
1,2021-11-17,168
2,2021-11-18,217
3,2021-11-19,124
4,2021-11-20,314
5,2021-11-21,164
6,2021-11-22,336
7,2021-11-23,356
8,2021-11-24,448
9,2021-11-25,233
10,2021-11-26,377
11,2021-11-27,446
12,2021-11-28,489
13,2021-11-29,257
14,2021-11-30,307
15,2021-12-01,392
16,2021-12-02,423
17,2021-12-03,308
18,2021-12-04,368
19,2021-12-05,401
20,2021-12-06,384
21,2021-12-07,183
22,2021-12-08,177
23,2021-12-09,284
24,2021-12-10,353
25,2021-12-11,302
26,2021-12-12,100
27,2021-12-13,345
28,2021-12-14,205
29,2021-12-15,243
30,2021-12-16,258
31,2021-12-17,257
32,2021-12-18,298
33,2021-12-19,433
34,2021-12-20,298
35,2021-12-21,370
36,2021-12-22,237
37,2021-12-23,109
38,2021-12-24,55
39,2021-12-25,141
40,2021-12-26,443
41,2021-12-27,140
42,2021-12-28,274
43,2021-12-29,190
44,2021-12-30,254
45,2021-12-31,161
46,2022-01-01,223
47,2022-01-02,436
48,2022-01-03,218
49,2022-01-04,472
50,2022-01-05,249
51,2022-01-06,124
52,2022-01-07,164
53,2022-01-08,322
54,2022-01-09,164
55,2022-01-10,318
56,2022-01-11,210
57,2022-01-12,171
58,2022-01-13,293
59,2022-01-14,223
60,2022-01-15,397
61,2022-01-16,357
62,2022-01-17,332
63,2022-01-18,0
64,2022-01-19,205
65,2022-01-20,217
66,2022-01-21,205
67,2022-01-22,431
68,2022-01-23,114
69,2022-01-24,122
70,2022-01-25,420
71,2022-01-26,257
72,2022-01-27,57
73,2022-01-28,354
74,2022-01-29,306
75,2022-01-30,137
76,2022-01-31,204
77,2022-02-01,387
78,2022-02-02,278
79,2022-02-03,472
80,2022-02-04,320
81,2022-02-05,409
82,2022-02-06,476
83,2022-02-07,260
84,2022-02-08,199
85,2022-02-09,290
86,2022-02-10,201
87,2022-02-11,152
88,2022-02-12,452
89,2022-02-13,296
90,2022-02-14,239
91,2022-02-15,656
92,2022-02-16,37
