,date,search_count
0,2021-12-28,0
1,2021-12-29,100
2,2021-12-30,0
3,2021-12-31,0
4,2022-01-01,0
5,2022-01-02,0
6,2022-01-03,0
7,2022-01-04,181
8,2022-01-05,0
9,2022-01-06,0
10,2022-01-07,0
11,2022-01-08,0
12,2022-01-09,0
13,2022-01-10,0
14,2022-01-11,0
15,2022-02-01,0
16,2022-02-02,0
17,2022-02-03,0
18,2022-02-04,0
19,2022-02-05,0
20,2022-02-06,100
21,2022-02-07,0
22,2022-02-08,100
23,2022-02-09,0
24,2022-02-10,0
25,2022-02-11,0
26,2022-02-12,0
27,2022-02-13,0
28,2022-02-14,0
29,2022-02-15,51
30,2022-02-16,0
