,date,search_count
0,2021-11-16,0
1,2021-11-17,177
2,2021-11-18,0
3,2021-11-19,0
4,2021-11-20,87
5,2021-11-21,0
6,2021-11-22,0
7,2021-11-23,0
8,2021-11-24,87
9,2021-11-25,0
10,2021-11-26,0
11,2021-11-27,69
12,2021-11-28,100
13,2021-11-29,0
14,2021-11-30,66
15,2021-12-01,68
16,2021-12-02,0
17,2021-12-03,65
18,2021-12-04,147
19,2021-12-05,100
20,2021-12-06,163
21,2021-12-07,0
22,2021-12-08,100
23,2021-12-09,98
24,2021-12-10,0
25,2021-12-11,68
26,2021-12-12,0
27,2021-12-13,0
28,2021-12-14,0
29,2021-12-21,78
30,2021-12-22,129
31,2021-12-23,81
32,2021-12-24,0
33,2021-12-25,0
34,2021-12-26,0
35,2021-12-27,164
36,2021-12-28,0
37,2021-12-29,0
38,2021-12-30,70
39,2021-12-31,260
40,2022-01-01,0
41,2022-01-02,0
42,2022-01-03,163
43,2022-01-04,0
44,2022-01-05,62
45,2022-01-06,0
46,2022-01-07,94
47,2022-01-08,166
48,2022-01-09,63
49,2022-01-10,0
50,2022-01-11,0
51,2022-01-12,65
52,2022-01-13,115
53,2022-01-14,100
54,2022-01-15,187
55,2022-01-16,257
56,2022-01-17,0
57,2022-01-18,0
58,2022-01-19,96
59,2022-01-20,0
60,2022-01-21,94
61,2022-01-22,64
62,2022-01-23,0
63,2022-01-24,100
64,2022-01-25,53
65,2022-01-26,155
66,2022-01-27,150
67,2022-01-28,97
68,2022-01-29,190
69,2022-01-30,77
70,2022-01-31,81
71,2022-02-01,0
72,2022-02-02,0
73,2022-02-03,70
74,2022-02-04,82
75,2022-02-05,173
76,2022-02-06,0
77,2022-02-07,72
78,2022-02-08,548
79,2022-02-09,626
80,2022-02-10,643
81,2022-02-11,591
82,2022-02-12,497
83,2022-02-13,379
84,2022-02-14,546
85,2022-02-15,287
86,2022-02-16,40
