,date,search_count
0,2021-11-16,89
1,2021-11-17,0
2,2021-11-18,0
3,2021-11-19,100
4,2021-11-20,0
5,2021-11-21,63
6,2021-11-22,0
7,2021-11-23,0
8,2021-11-30,0
9,2021-12-01,0
10,2021-12-02,0
11,2021-12-03,0
12,2021-12-04,100
13,2021-12-05,0
14,2021-12-06,0
15,2021-12-07,0
16,2021-12-08,0
17,2021-12-09,0
18,2021-12-10,100
19,2021-12-11,0
20,2021-12-12,0
21,2021-12-13,0
22,2021-12-14,0
23,2021-12-15,0
24,2021-12-16,0
25,2021-12-17,0
26,2021-12-18,100
27,2021-12-19,0
28,2021-12-20,0
29,2021-12-21,0
30,2021-12-22,0
31,2021-12-23,100
32,2021-12-24,0
33,2021-12-25,0
34,2021-12-26,0
35,2021-12-27,69
36,2021-12-28,0
37,2021-12-29,0
38,2021-12-30,0
39,2021-12-31,0
40,2022-01-01,0
41,2022-01-02,0
42,2022-01-03,100
43,2022-01-04,0
44,2022-01-05,0
45,2022-01-06,74
46,2022-01-07,0
47,2022-01-08,100
48,2022-01-09,0
49,2022-01-10,73
50,2022-01-11,62
51,2022-01-12,0
52,2022-01-13,0
53,2022-01-14,0
54,2022-01-15,0
55,2022-01-16,100
56,2022-01-17,86
57,2022-01-18,153
58,2022-01-19,0
59,2022-01-20,162
60,2022-01-21,173
61,2022-01-22,0
62,2022-01-23,66
63,2022-01-24,222
64,2022-01-25,104
65,2022-01-26,123
66,2022-01-27,140
67,2022-01-28,205
68,2022-01-29,385
69,2022-01-30,168
70,2022-01-31,154
71,2022-02-01,25
72,2022-02-02,62
73,2022-02-03,102
74,2022-02-04,438
75,2022-02-05,590
76,2022-02-06,167
77,2022-02-07,156
78,2022-02-08,536
79,2022-02-09,617
80,2022-02-10,1032
81,2022-02-11,1207
82,2022-02-12,709
83,2022-02-13,549
84,2022-02-14,574
85,2022-02-15,1287
86,2022-02-16,35
