,date,search_count
0,2021-11-16,165
1,2021-11-17,402
2,2021-11-18,298
3,2021-11-19,262
4,2021-11-20,387
5,2021-11-21,229
6,2021-11-22,34
7,2021-11-23,314
8,2021-11-24,74
9,2021-11-25,138
10,2021-11-26,243
11,2021-11-27,168
12,2021-11-28,241
13,2021-11-29,265
14,2021-11-30,0
15,2021-12-01,25
16,2021-12-02,62
17,2021-12-03,122
18,2021-12-04,267
19,2021-12-05,318
20,2021-12-06,176
21,2021-12-07,316
22,2021-12-08,349
23,2021-12-09,320
24,2021-12-10,78
25,2021-12-11,99
26,2021-12-12,117
27,2021-12-13,195
28,2021-12-14,341
29,2021-12-15,184
30,2021-12-16,125
31,2021-12-17,79
32,2021-12-18,98
33,2021-12-19,286
34,2021-12-20,227
35,2021-12-21,496
36,2021-12-22,258
37,2021-12-23,103
38,2021-12-24,251
39,2021-12-25,263
40,2021-12-26,94
41,2021-12-27,135
42,2021-12-28,181
43,2021-12-29,63
44,2021-12-30,473
45,2021-12-31,291
46,2022-01-01,429
47,2022-01-02,294
48,2022-01-03,143
49,2022-01-04,333
50,2022-01-05,444
51,2022-01-06,368
52,2022-01-07,148
53,2022-01-08,184
54,2022-01-09,254
55,2022-01-10,80
56,2022-01-11,113
57,2022-01-12,61
58,2022-01-13,206
59,2022-01-14,256
60,2022-01-15,0
61,2022-01-16,169
62,2022-01-17,108
63,2022-01-18,435
64,2022-01-19,0
65,2022-01-20,40
66,2022-01-21,48
67,2022-01-22,97
68,2022-01-23,64
69,2022-01-24,139
70,2022-01-25,130
71,2022-01-26,281
72,2022-01-27,476
73,2022-01-28,330
74,2022-01-29,235
75,2022-01-30,167
76,2022-01-31,177
77,2022-02-01,240
78,2022-02-02,287
79,2022-02-03,75
80,2022-02-04,239
81,2022-02-05,229
82,2022-02-06,48
83,2022-02-07,109
84,2022-02-08,1121
85,2022-02-09,926
86,2022-02-10,1131
87,2022-02-11,910
88,2022-02-12,914
89,2022-02-13,995
90,2022-02-14,820
91,2022-02-15,1318
92,2022-02-16,30
