,date,search_count
0,2021-11-23,0
1,2021-11-24,178
2,2021-11-25,0
3,2021-11-26,0
4,2021-11-27,0
5,2021-11-28,0
6,2021-11-29,0
7,2021-11-30,0
8,2021-12-07,0
9,2021-12-08,0
10,2021-12-09,0
11,2021-12-10,0
12,2021-12-11,0
13,2021-12-12,186
14,2021-12-13,0
15,2021-12-14,70
16,2021-12-15,0
17,2021-12-16,0
18,2021-12-17,0
19,2021-12-18,184
20,2021-12-19,45
21,2021-12-20,90
22,2021-12-21,69
23,2021-12-22,0
24,2021-12-23,72
25,2021-12-24,0
26,2021-12-25,0
27,2021-12-26,100
28,2021-12-27,0
29,2021-12-28,0
30,2021-12-29,0
31,2021-12-30,51
32,2021-12-31,0
33,2022-01-01,100
34,2022-01-02,0
35,2022-01-03,0
36,2022-01-04,63
37,2022-01-05,152
38,2022-01-06,0
39,2022-01-07,35
40,2022-01-08,49
41,2022-01-09,129
42,2022-01-10,100
43,2022-01-11,0
44,2022-01-12,96
45,2022-01-13,0
46,2022-01-14,100
47,2022-01-15,0
48,2022-01-16,0
49,2022-01-17,97
50,2022-01-18,100
51,2022-01-19,0
52,2022-01-20,61
53,2022-01-21,83
54,2022-01-22,0
55,2022-01-23,82
56,2022-01-24,0
57,2022-01-25,132
58,2022-01-26,89
59,2022-01-27,0
60,2022-01-28,175
61,2022-01-29,0
62,2022-01-30,0
63,2022-01-31,0
64,2022-02-01,0
65,2022-02-02,194
66,2022-02-03,0
67,2022-02-04,0
68,2022-02-05,0
69,2022-02-06,0
70,2022-02-07,57
71,2022-02-08,374
72,2022-02-09,461
73,2022-02-10,408
74,2022-02-11,455
75,2022-02-12,286
76,2022-02-13,323
77,2022-02-14,489
78,2022-02-15,485
79,2022-02-16,52
