,date,search_count
0,2021-11-16,43
1,2021-11-17,118
2,2021-11-18,89
3,2021-11-19,82
4,2021-11-20,196
5,2021-11-21,231
6,2021-11-22,78
7,2021-11-23,0
8,2021-11-24,172
9,2021-11-25,133
10,2021-11-26,260
11,2021-11-27,0
12,2021-11-28,0
13,2021-11-29,271
14,2021-11-30,0
15,2021-12-01,0
16,2021-12-02,63
17,2021-12-03,58
18,2021-12-04,135
19,2021-12-05,94
20,2021-12-06,290
21,2021-12-07,0
22,2021-12-08,161
23,2021-12-09,0
24,2021-12-10,266
25,2021-12-11,269
26,2021-12-12,82
27,2021-12-13,71
28,2021-12-14,95
29,2021-12-15,57
30,2021-12-16,97
31,2021-12-17,140
32,2021-12-18,100
33,2021-12-19,86
34,2021-12-20,62
35,2021-12-21,166
36,2021-12-22,93
37,2021-12-23,157
38,2021-12-24,167
39,2021-12-25,0
40,2021-12-26,0
41,2021-12-27,247
42,2021-12-28,81
43,2021-12-29,53
44,2021-12-30,50
45,2021-12-31,42
46,2022-01-01,0
47,2022-01-02,100
48,2022-01-03,72
49,2022-01-04,185
50,2022-01-05,75
51,2022-01-06,89
52,2022-01-07,90
53,2022-01-08,0
54,2022-01-09,193
55,2022-01-10,0
56,2022-01-11,173
57,2022-01-12,32
58,2022-01-13,54
59,2022-01-14,35
60,2022-01-15,50
61,2022-01-16,66
62,2022-01-17,105
63,2022-01-18,367
64,2022-01-19,199
65,2022-01-20,28
66,2022-01-21,125
67,2022-01-22,99
68,2022-01-23,50
69,2022-01-24,28
70,2022-01-25,213
71,2022-01-26,61
72,2022-01-27,146
73,2022-01-28,0
74,2022-01-29,273
75,2022-01-30,0
76,2022-01-31,0
77,2022-02-01,113
78,2022-02-02,225
79,2022-02-03,73
80,2022-02-04,94
81,2022-02-05,0
82,2022-02-06,74
83,2022-02-07,79
84,2022-02-08,1007
85,2022-02-09,897
86,2022-02-10,1017
87,2022-02-11,718
88,2022-02-12,749
89,2022-02-13,557
90,2022-02-14,877
91,2022-02-15,826
92,2022-02-16,49
