,date,search_count
0,2021-12-28,0
1,2021-12-29,0
2,2021-12-30,0
3,2021-12-31,0
4,2022-01-01,0
5,2022-01-02,58
6,2022-01-03,741
7,2022-01-04,0
8,2022-01-05,186
9,2022-01-06,97
10,2022-01-07,0
11,2022-01-08,47
12,2022-01-09,0
13,2022-01-10,173
14,2022-01-11,0
15,2022-01-12,170
16,2022-01-13,114
17,2022-01-14,0
18,2022-01-15,100
19,2022-01-16,95
20,2022-01-17,0
21,2022-01-18,100
22,2022-01-19,0
23,2022-01-20,87
24,2022-01-21,0
25,2022-01-22,0
26,2022-01-23,0
27,2022-01-24,90
28,2022-01-25,0
29,2022-01-26,0
30,2022-01-27,0
31,2022-01-28,0
32,2022-01-29,0
33,2022-01-30,0
34,2022-01-31,100
35,2022-02-01,0
36,2022-02-02,0
37,2022-02-03,0
38,2022-02-04,0
39,2022-02-05,100
40,2022-02-06,0
41,2022-02-07,65
42,2022-02-08,233
43,2022-02-09,241
44,2022-02-10,140
45,2022-02-11,60
46,2022-02-12,124
47,2022-02-13,133
48,2022-02-14,279
49,2022-02-15,266
50,2022-02-16,32
