,date,search_count
0,2021-11-16,191
1,2021-11-17,0
2,2021-11-18,0
3,2021-11-19,0
4,2021-11-20,0
5,2021-11-21,0
6,2021-11-22,0
7,2021-11-23,0
8,2021-11-24,0
9,2021-11-25,72
10,2021-11-26,0
11,2021-11-27,187
12,2021-11-28,0
13,2021-11-29,0
14,2021-11-30,0
15,2021-12-14,0
16,2021-12-15,100
17,2021-12-16,0
18,2021-12-17,96
19,2021-12-18,0
20,2021-12-19,0
21,2021-12-20,0
22,2021-12-21,0
23,2021-12-22,0
24,2021-12-23,100
25,2021-12-24,0
26,2021-12-25,0
27,2021-12-26,0
28,2021-12-27,0
29,2021-12-28,0
30,2021-12-29,0
31,2021-12-30,0
32,2021-12-31,0
33,2022-01-01,100
34,2022-01-02,0
35,2022-01-03,0
36,2022-01-04,0
37,2022-01-05,0
38,2022-01-06,0
39,2022-01-07,0
40,2022-01-08,100
41,2022-01-09,0
42,2022-01-10,58
43,2022-01-11,100
44,2022-01-12,0
45,2022-01-13,0
46,2022-01-14,0
47,2022-01-15,0
48,2022-01-16,0
49,2022-01-17,0
50,2022-01-18,0
51,2022-01-19,100
52,2022-01-20,0
53,2022-01-21,0
54,2022-01-22,0
55,2022-01-23,0
56,2022-01-24,0
57,2022-01-25,0
58,2022-01-26,0
59,2022-01-27,0
60,2022-01-28,100
61,2022-01-29,0
62,2022-01-30,0
63,2022-01-31,0
64,2022-02-01,0
65,2022-02-08,225
66,2022-02-09,205
67,2022-02-10,196
68,2022-02-11,268
69,2022-02-12,442
70,2022-02-13,124
71,2022-02-14,288
72,2022-02-15,383
73,2022-02-16,0
