,date,search_count
0,2021-12-28,0
1,2021-12-29,0
2,2021-12-30,0
3,2021-12-31,135
4,2022-01-01,326
5,2022-01-02,284
6,2022-01-03,105
7,2022-01-04,279
8,2022-01-05,80
9,2022-01-06,175
10,2022-01-07,354
11,2022-01-08,405
12,2022-01-09,473
13,2022-01-10,409
14,2022-01-11,739
15,2022-01-12,333
16,2022-01-13,192
17,2022-01-14,165
18,2022-01-15,95
19,2022-01-16,99
20,2022-01-17,40
21,2022-01-18,308
22,2022-01-19,222
23,2022-01-20,143
24,2022-01-21,219
25,2022-01-22,168
26,2022-01-23,103
27,2022-01-24,203
28,2022-01-25,215
29,2022-01-26,0
30,2022-01-27,60
31,2022-01-28,0
32,2022-01-29,166
33,2022-01-30,0
34,2022-01-31,54
35,2022-02-01,79
36,2022-02-02,0
37,2022-02-03,113
38,2022-02-04,242
39,2022-02-05,257
40,2022-02-06,77
41,2022-02-07,71
42,2022-02-08,574
43,2022-02-09,474
44,2022-02-10,429
45,2022-02-11,413
46,2022-02-12,459
47,2022-02-13,457
48,2022-02-14,457
49,2022-02-15,559
50,2022-02-16,13
