,date,search_count
0,2021-11-16,113
1,2021-11-17,126
2,2021-11-18,92
3,2021-11-19,164
4,2021-11-20,159
5,2021-11-21,253
6,2021-11-22,156
7,2021-11-23,52
8,2021-11-24,84
9,2021-11-25,89
10,2021-11-26,351
11,2021-11-27,100
12,2021-11-28,0
13,2021-11-29,57
14,2021-11-30,99
15,2021-12-01,163
16,2021-12-02,58
17,2021-12-03,61
18,2021-12-04,0
19,2021-12-05,215
20,2021-12-06,181
21,2021-12-07,34
22,2021-12-08,27
23,2021-12-09,179
24,2021-12-10,87
25,2021-12-11,292
26,2021-12-12,349
27,2021-12-13,89
28,2021-12-14,60
29,2021-12-15,0
30,2021-12-16,0
31,2021-12-17,100
32,2021-12-18,54
33,2021-12-19,109
34,2021-12-20,153
35,2021-12-21,99
36,2021-12-22,114
37,2021-12-23,83
38,2021-12-24,0
39,2021-12-25,100
40,2021-12-26,115
41,2021-12-27,197
42,2021-12-28,89
43,2021-12-29,100
44,2021-12-30,0
45,2021-12-31,90
46,2022-01-01,0
47,2022-01-02,0
48,2022-01-03,67
49,2022-01-04,202
50,2022-01-05,88
51,2022-01-06,282
52,2022-01-07,437
53,2022-01-08,208
54,2022-01-09,167
55,2022-01-10,224
56,2022-01-11,114
57,2022-01-12,190
58,2022-01-13,49
59,2022-01-14,216
60,2022-01-15,185
61,2022-01-16,0
62,2022-01-17,117
63,2022-01-18,70
64,2022-01-19,180
65,2022-01-20,274
66,2022-01-21,0
67,2022-01-22,75
68,2022-01-23,0
69,2022-01-24,0
70,2022-01-25,64
71,2022-01-26,279
72,2022-01-27,271
73,2022-01-28,0
74,2022-01-29,74
75,2022-01-30,100
76,2022-01-31,254
77,2022-02-01,130
78,2022-02-02,84
79,2022-02-03,0
80,2022-02-04,0
81,2022-02-05,0
82,2022-02-06,100
83,2022-02-07,67
84,2022-02-08,897
85,2022-02-09,922
86,2022-02-10,613
87,2022-02-11,651
88,2022-02-12,579
89,2022-02-13,360
90,2022-02-14,588
91,2022-02-15,656
92,2022-02-16,34
