,date,search_count
0,2021-11-16,52
1,2021-11-17,334
2,2021-11-18,127
3,2021-11-19,69
4,2021-11-20,0
5,2021-11-21,0
6,2021-11-22,0
7,2021-11-23,297
8,2021-11-24,0
9,2021-11-25,99
10,2021-11-26,60
11,2021-11-27,0
12,2021-11-28,148
13,2021-11-29,57
14,2021-11-30,161
15,2021-12-01,0
16,2021-12-02,0
17,2021-12-03,0
18,2021-12-04,0
19,2021-12-05,0
20,2021-12-06,0
21,2021-12-07,100
22,2021-12-08,0
23,2021-12-09,0
24,2021-12-10,0
25,2021-12-11,0
26,2021-12-12,0
27,2021-12-13,94
28,2021-12-14,77
29,2021-12-15,123
30,2021-12-16,0
31,2021-12-17,94
32,2021-12-18,0
33,2021-12-19,159
34,2021-12-20,85
35,2021-12-21,59
36,2021-12-22,70
37,2021-12-23,0
38,2021-12-24,0
39,2021-12-25,90
40,2021-12-26,0
41,2021-12-27,100
42,2021-12-28,0
43,2021-12-29,0
44,2021-12-30,0
45,2021-12-31,0
46,2022-01-01,0
47,2022-01-02,0
48,2022-01-03,191
49,2022-01-04,0
50,2022-01-05,224
51,2022-01-06,64
52,2022-01-07,0
53,2022-01-08,77
54,2022-01-09,0
55,2022-01-10,0
56,2022-01-11,100
57,2022-01-12,0
58,2022-01-13,0
59,2022-01-14,123
60,2022-01-15,70
61,2022-01-16,0
62,2022-01-17,0
63,2022-01-18,68
64,2022-01-19,0
65,2022-01-20,0
66,2022-01-21,0
67,2022-01-22,182
68,2022-01-23,0
69,2022-01-24,140
70,2022-01-25,121
71,2022-01-26,0
72,2022-01-27,0
73,2022-01-28,71
74,2022-01-29,68
75,2022-01-30,100
76,2022-01-31,55
77,2022-02-01,59
78,2022-02-02,187
79,2022-02-03,0
80,2022-02-04,0
81,2022-02-05,0
82,2022-02-06,100
83,2022-02-07,56
84,2022-02-08,0
85,2022-02-09,100
86,2022-02-10,79
87,2022-02-11,0
88,2022-02-12,0
89,2022-02-13,0
90,2022-02-14,0
91,2022-02-15,174
92,2022-02-16,28
