,date,search_count
0,2021-11-16,313
1,2021-11-17,86
2,2021-11-18,242
3,2021-11-19,224
4,2021-11-20,131
5,2021-11-21,142
6,2021-11-22,124
7,2021-11-23,368
8,2021-11-24,277
9,2021-11-25,167
10,2021-11-26,202
11,2021-11-27,34
12,2021-11-28,293
13,2021-11-29,130
14,2021-11-30,275
15,2021-12-01,94
16,2021-12-02,324
17,2021-12-03,152
18,2021-12-04,346
19,2021-12-05,236
20,2021-12-06,76
21,2021-12-07,104
22,2021-12-08,827
23,2021-12-09,656
24,2021-12-10,315
25,2021-12-11,410
26,2021-12-12,320
27,2021-12-13,436
28,2021-12-14,163
29,2021-12-15,165
30,2021-12-16,118
31,2021-12-17,559
32,2021-12-18,244
33,2021-12-19,103
34,2021-12-20,146
35,2021-12-21,298
36,2021-12-22,294
37,2021-12-23,66
38,2021-12-24,234
39,2021-12-25,200
40,2021-12-26,245
41,2021-12-27,254
42,2021-12-28,150
43,2021-12-29,206
44,2021-12-30,75
45,2021-12-31,261
46,2022-01-01,331
47,2022-01-02,148
48,2022-01-03,283
49,2022-01-04,53
50,2022-01-05,115
51,2022-01-06,105
52,2022-01-07,101
53,2022-01-08,150
54,2022-01-09,180
55,2022-01-10,362
56,2022-01-11,748
57,2022-01-12,441
58,2022-01-13,444
59,2022-01-14,224
60,2022-01-15,264
61,2022-01-16,336
62,2022-01-17,181
63,2022-01-18,626
64,2022-01-19,699
65,2022-01-20,355
66,2022-01-21,349
67,2022-01-22,156
68,2022-01-23,241
69,2022-01-24,199
70,2022-01-25,179
71,2022-01-26,204
72,2022-01-27,283
73,2022-01-28,190
74,2022-01-29,232
75,2022-01-30,230
76,2022-01-31,153
77,2022-02-01,359
78,2022-02-02,93
79,2022-02-03,197
80,2022-02-04,272
81,2022-02-05,272
82,2022-02-06,170
83,2022-02-07,128
84,2022-02-08,1238
85,2022-02-09,1152
86,2022-02-10,1130
87,2022-02-11,1004
88,2022-02-12,1045
89,2022-02-13,825
90,2022-02-14,745
91,2022-02-15,648
92,2022-02-16,66
