,date,search_count
0,2021-11-16,371
1,2021-11-17,509
2,2021-11-18,502
3,2021-11-19,357
4,2021-11-20,291
5,2021-11-21,327
6,2021-11-22,402
7,2021-11-23,865
8,2021-11-24,890
9,2021-11-25,656
10,2021-11-26,541
11,2021-11-27,704
12,2021-11-28,641
13,2021-11-29,968
14,2021-11-30,701
15,2021-12-01,683
16,2021-12-02,707
17,2021-12-03,589
18,2021-12-04,470
19,2021-12-05,511
20,2021-12-06,637
21,2021-12-07,939
22,2021-12-08,994
23,2021-12-09,884
24,2021-12-10,780
25,2021-12-11,671
26,2021-12-12,654
27,2021-12-13,1006
28,2021-12-14,698
29,2021-12-15,634
30,2021-12-16,574
31,2021-12-17,622
32,2021-12-18,509
33,2021-12-19,381
34,2021-12-20,534
35,2021-12-21,819
36,2021-12-22,633
37,2021-12-23,514
38,2021-12-24,810
39,2021-12-25,860
40,2021-12-26,779
41,2021-12-27,816
42,2021-12-28,671
43,2021-12-29,707
44,2021-12-30,344
45,2021-12-31,447
46,2022-01-01,521
47,2022-01-02,615
48,2022-01-03,647
49,2022-01-04,900
50,2022-01-05,818
51,2022-01-06,979
52,2022-01-07,744
53,2022-01-08,730
54,2022-01-09,722
55,2022-01-10,981
56,2022-01-11,701
57,2022-01-12,1061
58,2022-01-13,1053
59,2022-01-14,881
60,2022-01-15,787
61,2022-01-16,576
62,2022-01-17,789
63,2022-01-18,677
64,2022-01-19,771
65,2022-01-20,692
66,2022-01-21,672
67,2022-01-22,606
68,2022-01-23,499
69,2022-01-24,815
70,2022-01-25,814
71,2022-01-26,591
72,2022-01-27,644
73,2022-01-28,541
74,2022-01-29,467
75,2022-01-30,526
76,2022-01-31,680
77,2022-02-01,1017
78,2022-02-02,911
79,2022-02-03,769
80,2022-02-04,926
81,2022-02-05,765
82,2022-02-06,874
83,2022-02-07,973
84,2022-02-08,1506
85,2022-02-09,1457
86,2022-02-10,1443
87,2022-02-11,1436
88,2022-02-12,1178
89,2022-02-13,1144
90,2022-02-14,1314
91,2022-02-15,1570
92,2022-02-16,58
