,date,search_count
0,2021-11-16,181
1,2021-11-17,224
2,2021-11-18,225
3,2021-11-19,290
4,2021-11-20,0
5,2021-11-21,0
6,2021-11-22,96
7,2021-11-23,100
8,2021-11-24,0
9,2021-11-25,0
10,2021-11-26,0
11,2021-11-27,0
12,2021-11-28,84
13,2021-11-29,0
14,2021-11-30,0
15,2021-12-01,0
16,2021-12-02,95
17,2021-12-03,0
18,2021-12-04,0
19,2021-12-05,0
20,2021-12-06,100
21,2021-12-07,0
22,2021-12-08,100
23,2021-12-09,0
24,2021-12-10,0
25,2021-12-11,0
26,2021-12-12,0
27,2021-12-13,0
28,2021-12-14,66
29,2021-12-15,0
30,2021-12-16,0
31,2021-12-17,100
32,2021-12-18,0
33,2021-12-19,0
34,2021-12-20,0
35,2021-12-21,0
36,2021-12-22,281
37,2021-12-23,58
38,2021-12-24,97
39,2021-12-25,0
40,2021-12-26,149
41,2021-12-27,87
42,2021-12-28,67
43,2021-12-29,64
44,2021-12-30,0
45,2021-12-31,123
46,2022-01-01,57
47,2022-01-02,231
48,2022-01-03,252
49,2022-01-04,0
50,2022-01-05,83
51,2022-01-06,0
52,2022-01-07,84
53,2022-01-08,155
54,2022-01-09,170
55,2022-01-10,58
56,2022-01-11,281
57,2022-01-12,117
58,2022-01-13,160
59,2022-01-14,72
60,2022-01-15,0
61,2022-01-16,0
62,2022-01-17,121
63,2022-01-18,0
64,2022-01-19,86
65,2022-01-20,100
66,2022-01-21,0
67,2022-01-22,0
68,2022-01-23,0
69,2022-01-24,0
70,2022-01-25,79
71,2022-01-26,216
72,2022-01-27,66
73,2022-01-28,85
74,2022-01-29,74
75,2022-01-30,252
76,2022-01-31,159
77,2022-02-01,79
78,2022-02-02,184
79,2022-02-03,76
80,2022-02-04,64
81,2022-02-05,69
82,2022-02-06,0
83,2022-02-07,0
84,2022-02-08,596
85,2022-02-09,463
86,2022-02-10,372
87,2022-02-11,296
88,2022-02-12,205
89,2022-02-13,297
90,2022-02-14,234
91,2022-02-15,567
92,2022-02-16,0
