,date,search_count
0,2021-11-16,0
1,2021-11-17,235
2,2021-11-18,119
3,2021-11-19,141
4,2021-11-20,132
5,2021-11-21,99
6,2021-11-22,150
7,2021-11-23,156
8,2021-11-24,303
9,2021-11-25,173
10,2021-11-26,0
11,2021-11-27,294
12,2021-11-28,480
13,2021-11-29,144
14,2021-11-30,345
15,2021-12-01,0
16,2021-12-02,179
17,2021-12-03,146
18,2021-12-04,419
19,2021-12-05,395
20,2021-12-06,329
21,2021-12-07,379
22,2021-12-08,266
23,2021-12-09,187
24,2021-12-10,150
25,2021-12-11,100
26,2021-12-12,324
27,2021-12-13,111
28,2021-12-14,113
29,2021-12-15,195
30,2021-12-16,0
31,2021-12-17,176
32,2021-12-18,0
33,2021-12-19,410
34,2021-12-20,52
35,2021-12-21,436
36,2021-12-22,292
37,2021-12-23,166
38,2021-12-24,238
39,2021-12-25,70
40,2021-12-26,250
41,2021-12-27,65
42,2021-12-28,220
43,2021-12-29,237
44,2021-12-30,149
45,2021-12-31,160
46,2022-01-01,263
47,2022-01-02,227
48,2022-01-03,515
49,2022-01-04,541
50,2022-01-05,185
51,2022-01-06,231
52,2022-01-07,42
53,2022-01-08,59
54,2022-01-09,93
55,2022-01-10,102
56,2022-01-11,244
57,2022-01-12,190
58,2022-01-13,319
59,2022-01-14,326
60,2022-01-15,122
61,2022-01-16,107
62,2022-01-17,143
63,2022-01-18,0
64,2022-01-19,34
65,2022-01-20,0
66,2022-01-21,153
67,2022-01-22,195
68,2022-01-23,0
69,2022-01-24,193
70,2022-01-25,174
71,2022-01-26,177
72,2022-01-27,94
73,2022-01-28,77
74,2022-01-29,98
75,2022-01-30,35
76,2022-01-31,297
77,2022-02-01,326
78,2022-02-02,39
79,2022-02-03,191
80,2022-02-04,44
81,2022-02-05,55
82,2022-02-06,120
83,2022-02-07,45
84,2022-02-08,905
85,2022-02-09,1146
86,2022-02-10,1029
87,2022-02-11,1048
88,2022-02-12,929
89,2022-02-13,856
90,2022-02-14,910
91,2022-02-15,1007
92,2022-02-16,46
