,date,search_count
0,2021-11-16,309
1,2021-11-17,204
2,2021-11-18,118
3,2021-11-19,117
4,2021-11-20,94
5,2021-11-21,216
6,2021-11-22,160
7,2021-11-23,92
8,2021-11-24,66
9,2021-11-25,62
10,2021-11-26,149
11,2021-11-27,207
12,2021-11-28,166
13,2021-11-29,329
14,2021-11-30,492
15,2021-12-01,278
16,2021-12-02,120
17,2021-12-03,211
18,2021-12-04,93
19,2021-12-05,130
20,2021-12-06,129
21,2021-12-07,153
22,2021-12-08,116
23,2021-12-09,155
24,2021-12-10,49
25,2021-12-11,111
26,2021-12-12,167
27,2021-12-13,469
28,2021-12-14,957
29,2021-12-15,280
30,2021-12-16,359
31,2021-12-17,253
32,2021-12-18,288
33,2021-12-19,242
34,2021-12-20,305
35,2021-12-21,289
36,2021-12-22,371
37,2021-12-23,228
38,2021-12-24,271
39,2021-12-25,272
40,2021-12-26,413
41,2021-12-27,400
42,2021-12-28,297
43,2021-12-29,268
44,2021-12-30,381
45,2021-12-31,432
46,2022-01-01,187
47,2022-01-02,309
48,2022-01-03,256
49,2022-01-04,381
50,2022-01-05,301
51,2022-01-06,219
52,2022-01-07,275
53,2022-01-08,164
54,2022-01-09,305
55,2022-01-10,294
56,2022-01-11,402
57,2022-01-12,387
58,2022-01-13,729
59,2022-01-14,448
60,2022-01-15,301
61,2022-01-16,196
62,2022-01-17,313
63,2022-01-18,449
64,2022-01-19,302
65,2022-01-20,222
66,2022-01-21,285
67,2022-01-22,243
68,2022-01-23,208
69,2022-01-24,314
70,2022-01-25,493
71,2022-01-26,402
72,2022-01-27,446
73,2022-01-28,452
74,2022-01-29,431
75,2022-01-30,564
76,2022-01-31,590
77,2022-02-01,810
78,2022-02-02,142
79,2022-02-03,418
80,2022-02-04,469
81,2022-02-05,432
82,2022-02-06,549
83,2022-02-07,468
84,2022-02-08,1525
85,2022-02-09,1197
86,2022-02-10,1110
87,2022-02-11,1077
88,2022-02-12,857
89,2022-02-13,1041
90,2022-02-14,937
91,2022-02-15,1581
92,2022-02-16,61
