,date,search_count
0,2021-11-23,0
1,2021-11-24,0
2,2021-11-25,83
3,2021-11-26,0
4,2021-11-27,100
5,2021-11-28,0
6,2021-11-29,0
7,2021-11-30,100
8,2021-12-01,0
9,2021-12-02,0
10,2021-12-03,0
11,2021-12-04,0
12,2021-12-05,0
13,2021-12-06,0
14,2021-12-07,0
15,2021-12-14,0
16,2021-12-15,0
17,2021-12-16,0
18,2021-12-17,0
19,2021-12-18,0
20,2021-12-19,0
21,2021-12-20,100
22,2021-12-21,0
23,2021-12-22,0
24,2021-12-23,100
25,2021-12-24,0
26,2021-12-25,0
27,2021-12-26,0
28,2021-12-27,0
29,2021-12-28,0
30,2021-12-29,0
31,2021-12-30,100
32,2021-12-31,0
33,2022-01-01,0
34,2022-01-02,0
35,2022-01-03,0
36,2022-01-04,130
37,2022-01-05,21
38,2022-01-06,20
39,2022-01-07,311
40,2022-01-08,253
41,2022-01-09,84
42,2022-01-10,77
43,2022-01-11,300
44,2022-01-12,473
45,2022-01-13,238
46,2022-01-14,396
47,2022-01-15,85
48,2022-01-16,0
49,2022-01-17,0
50,2022-01-18,0
51,2022-01-19,0
52,2022-01-20,0
53,2022-01-21,0
54,2022-01-22,100
55,2022-01-23,0
56,2022-01-24,0
57,2022-01-25,0
58,2022-01-26,0
59,2022-01-27,82
60,2022-01-28,174
61,2022-01-29,0
62,2022-01-30,100
63,2022-01-31,0
64,2022-02-01,0
65,2022-02-02,0
66,2022-02-03,0
67,2022-02-04,0
68,2022-02-05,74
69,2022-02-06,100
70,2022-02-07,0
71,2022-02-08,603
72,2022-02-09,472
73,2022-02-10,573
74,2022-02-11,532
75,2022-02-12,439
76,2022-02-13,503
77,2022-02-14,463
78,2022-02-15,301
79,2022-02-16,38
