,date,search_count
0,2021-11-16,1036
1,2021-11-17,984
2,2021-11-18,1291
3,2021-11-19,1238
4,2021-11-20,1023
5,2021-11-21,938
6,2021-11-22,1079
7,2021-11-23,1120
8,2021-11-24,993
9,2021-11-25,1081
10,2021-11-26,977
11,2021-11-27,971
12,2021-11-28,1027
13,2021-11-29,1021
14,2021-11-30,1005
15,2021-12-01,856
16,2021-12-02,908
17,2021-12-03,885
18,2021-12-04,828
19,2021-12-05,876
20,2021-12-06,1147
21,2021-12-07,1420
22,2021-12-08,1046
23,2021-12-09,1040
24,2021-12-10,937
25,2021-12-11,885
26,2021-12-12,837
27,2021-12-13,1039
28,2021-12-14,1100
29,2021-12-15,967
30,2021-12-16,1081
31,2021-12-17,1025
32,2021-12-18,970
33,2021-12-19,950
34,2021-12-20,959
35,2021-12-21,1049
36,2021-12-22,996
37,2021-12-23,1008
38,2021-12-24,989
39,2021-12-25,1027
40,2021-12-26,994
41,2021-12-27,1016
42,2021-12-28,899
43,2021-12-29,895
44,2021-12-30,927
45,2021-12-31,977
46,2022-01-01,1053
47,2022-01-02,981
48,2022-01-03,911
49,2022-01-04,886
50,2022-01-05,862
51,2022-01-06,938
52,2022-01-07,896
53,2022-01-08,941
54,2022-01-09,1018
55,2022-01-10,809
56,2022-01-11,1138
57,2022-01-12,1018
58,2022-01-13,1204
59,2022-01-14,1168
60,2022-01-15,1182
61,2022-01-16,1161
62,2022-01-17,1084
63,2022-01-18,1260
64,2022-01-19,1190
65,2022-01-20,1198
66,2022-01-21,958
67,2022-01-22,1087
68,2022-01-23,1042
69,2022-01-24,1009
70,2022-01-25,1006
71,2022-01-26,999
72,2022-01-27,1014
73,2022-01-28,1009
74,2022-01-29,965
75,2022-01-30,1115
76,2022-01-31,983
77,2022-02-01,1135
78,2022-02-02,1070
79,2022-02-03,1098
80,2022-02-04,1056
81,2022-02-05,965
82,2022-02-06,919
83,2022-02-07,1001
84,2022-02-08,1230
85,2022-02-09,1210
86,2022-02-10,1231
87,2022-02-11,1221
88,2022-02-12,1162
89,2022-02-13,1159
90,2022-02-14,1562
91,2022-02-15,1247
92,2022-02-16,65
