,date,search_count
0,2021-11-30,100
1,2021-12-01,0
2,2021-12-02,0
3,2021-12-03,0
4,2021-12-04,0
5,2021-12-05,0
6,2021-12-06,0
7,2021-12-07,0
8,2021-12-28,0
9,2021-12-29,0
10,2021-12-30,0
11,2021-12-31,0
12,2022-01-01,100
13,2022-01-02,0
14,2022-01-03,0
15,2022-01-04,0
16,2022-01-05,0
17,2022-01-06,0
18,2022-01-07,0
19,2022-01-08,0
20,2022-01-09,0
21,2022-01-10,100
22,2022-01-11,0
23,2022-01-18,0
24,2022-01-19,0
25,2022-01-20,0
26,2022-01-21,100
27,2022-01-22,0
28,2022-01-23,0
29,2022-01-24,0
30,2022-01-25,0
31,2022-01-26,0
32,2022-01-27,0
33,2022-01-28,0
34,2022-01-29,100
35,2022-01-30,0
36,2022-01-31,0
37,2022-02-01,0
38,2022-02-02,0
39,2022-02-03,71
40,2022-02-04,100
41,2022-02-05,77
42,2022-02-06,0
43,2022-02-07,0
44,2022-02-08,108
45,2022-02-09,260
46,2022-02-10,115
47,2022-02-11,90
48,2022-02-12,64
49,2022-02-13,155
50,2022-02-14,0
51,2022-02-15,157
52,2022-02-16,0
