,date,search_count
0,2021-11-16,184
1,2021-11-17,35
2,2021-11-18,200
3,2021-11-19,224
4,2021-11-20,178
5,2021-11-21,129
6,2021-11-22,81
7,2021-11-23,116
8,2021-11-24,248
9,2021-11-25,154
10,2021-11-26,252
11,2021-11-27,47
12,2021-11-28,111
13,2021-11-29,324
14,2021-11-30,259
15,2021-12-01,245
16,2021-12-02,292
17,2021-12-03,291
18,2021-12-04,172
19,2021-12-05,312
20,2021-12-06,90
21,2021-12-07,306
22,2021-12-08,240
23,2021-12-09,299
24,2021-12-10,114
25,2021-12-11,405
26,2021-12-12,192
27,2021-12-13,112
28,2021-12-14,191
29,2021-12-15,156
30,2021-12-16,267
31,2021-12-17,308
32,2021-12-18,86
33,2021-12-19,165
34,2021-12-20,188
35,2021-12-21,244
36,2021-12-22,98
37,2021-12-23,347
38,2021-12-24,164
39,2021-12-25,73
40,2021-12-26,260
41,2021-12-27,80
42,2021-12-28,119
43,2021-12-29,85
44,2021-12-30,152
45,2021-12-31,109
46,2022-01-01,244
47,2022-01-02,424
48,2022-01-03,408
49,2022-01-04,351
50,2022-01-05,191
51,2022-01-06,162
52,2022-01-07,368
53,2022-01-08,58
54,2022-01-09,228
55,2022-01-10,52
56,2022-01-11,301
57,2022-01-12,174
58,2022-01-13,219
59,2022-01-14,170
60,2022-01-15,35
61,2022-01-16,160
62,2022-01-17,56
63,2022-01-18,34
64,2022-01-19,201
65,2022-01-20,168
66,2022-01-21,156
67,2022-01-22,220
68,2022-01-23,380
69,2022-01-24,112
70,2022-01-25,158
71,2022-01-26,309
72,2022-01-27,137
73,2022-01-28,384
74,2022-01-29,254
75,2022-01-30,0
76,2022-01-31,265
77,2022-02-01,155
78,2022-02-02,299
79,2022-02-03,250
80,2022-02-04,172
81,2022-02-05,285
82,2022-02-06,376
83,2022-02-07,219
84,2022-02-08,1187
85,2022-02-09,1443
86,2022-02-10,1152
87,2022-02-11,985
88,2022-02-12,923
89,2022-02-13,968
90,2022-02-14,826
91,2022-02-15,1422
92,2022-02-16,73
