,date,search_count
0,2021-11-16,0
1,2021-11-17,0
2,2021-11-18,75
3,2021-11-19,0
4,2021-11-20,0
5,2021-11-21,100
6,2021-11-22,0
7,2021-11-23,0
8,2021-11-30,0
9,2021-12-01,100
10,2021-12-02,0
11,2021-12-03,0
12,2021-12-04,0
13,2021-12-05,0
14,2021-12-06,0
15,2021-12-07,0
16,2021-12-08,0
17,2021-12-09,0
18,2021-12-10,0
19,2021-12-11,0
20,2021-12-12,100
21,2021-12-13,0
22,2021-12-14,0
23,2021-12-15,0
24,2021-12-16,0
25,2021-12-17,148
26,2021-12-18,100
27,2021-12-19,0
28,2021-12-20,0
29,2021-12-21,0
30,2021-12-22,0
31,2021-12-23,0
32,2021-12-24,0
33,2021-12-25,0
34,2021-12-26,0
35,2021-12-27,100
36,2021-12-28,52
37,2021-12-29,82
38,2021-12-30,63
39,2021-12-31,0
40,2022-01-01,100
41,2022-01-02,0
42,2022-01-03,0
43,2022-01-04,0
44,2022-01-05,131
45,2022-01-06,0
46,2022-01-07,88
47,2022-01-08,64
48,2022-01-09,175
49,2022-01-10,0
50,2022-01-11,0
51,2022-01-12,0
52,2022-01-13,376
53,2022-01-14,69
54,2022-01-15,0
55,2022-01-16,65
56,2022-01-17,0
57,2022-01-18,77
58,2022-01-19,317
59,2022-01-20,196
60,2022-01-21,162
61,2022-01-22,0
62,2022-01-23,0
63,2022-01-24,55
64,2022-01-25,0
65,2022-01-26,89
66,2022-01-27,100
67,2022-01-28,0
68,2022-01-29,0
69,2022-01-30,0
70,2022-01-31,144
71,2022-02-01,0
72,2022-02-02,179
73,2022-02-03,0
74,2022-02-04,0
75,2022-02-05,89
76,2022-02-06,68
77,2022-02-07,0
78,2022-02-08,845
79,2022-02-09,620
80,2022-02-10,494
81,2022-02-11,446
82,2022-02-12,460
83,2022-02-13,532
84,2022-02-14,392
85,2022-02-15,1093
86,2022-02-16,89
