,date,search_count
0,2021-11-16,225
1,2021-11-17,159
2,2021-11-18,200
3,2021-11-19,210
4,2021-11-20,476
5,2021-11-21,665
6,2021-11-22,670
7,2021-11-23,658
8,2021-11-24,674
9,2021-11-25,634
10,2021-11-26,556
11,2021-11-27,759
12,2021-11-28,757
13,2021-11-29,518
14,2021-11-30,559
15,2021-12-01,380
16,2021-12-02,428
17,2021-12-03,593
18,2021-12-04,551
19,2021-12-05,687
20,2021-12-06,287
21,2021-12-07,789
22,2021-12-08,542
23,2021-12-09,706
24,2021-12-10,727
25,2021-12-11,682
26,2021-12-12,951
27,2021-12-13,448
28,2021-12-14,621
29,2021-12-15,445
30,2021-12-16,475
31,2021-12-17,477
32,2021-12-18,584
33,2021-12-19,557
34,2021-12-20,573
35,2021-12-21,516
36,2021-12-22,420
37,2021-12-23,541
38,2021-12-24,660
39,2021-12-25,714
40,2021-12-26,579
41,2021-12-27,518
42,2021-12-28,721
43,2021-12-29,718
44,2021-12-30,694
45,2021-12-31,566
46,2022-01-01,696
47,2022-01-02,648
48,2022-01-03,831
49,2022-01-04,560
50,2022-01-05,585
51,2022-01-06,678
52,2022-01-07,732
53,2022-01-08,604
54,2022-01-09,665
55,2022-01-10,729
56,2022-01-11,618
57,2022-01-12,269
58,2022-01-13,416
59,2022-01-14,530
60,2022-01-15,670
61,2022-01-16,693
62,2022-01-17,597
63,2022-01-18,543
64,2022-01-19,567
65,2022-01-20,430
66,2022-01-21,638
67,2022-01-22,759
68,2022-01-23,587
69,2022-01-24,530
70,2022-01-25,618
71,2022-01-26,583
72,2022-01-27,743
73,2022-01-28,636
74,2022-01-29,494
75,2022-01-30,780
76,2022-01-31,639
77,2022-02-01,540
78,2022-02-02,300
79,2022-02-03,444
80,2022-02-04,479
81,2022-02-05,589
82,2022-02-06,606
83,2022-02-07,535
84,2022-02-08,1234
85,2022-02-09,1306
86,2022-02-10,1325
87,2022-02-11,1343
88,2022-02-12,1511
89,2022-02-13,1534
90,2022-02-14,1164
91,2022-02-15,1569
92,2022-02-16,74
