TOKEN_ID,rarity,last_sale_price,counts
5601,302.1803359043614,0.3,1.0
5602,132.59438269617948,2.5,1.0
5603,223.9182074310178,0.9,3.0
5604,235.0010685062449,2.0,6.0
5605,171.30462725151375,2.02,5.0
5606,146.5806984872957,1.0,8.0
5607,142.45080546324732,3.5,3.0
5608,208.8499409187636,1.4,6.0
5609,172.20511183773777,1.788,2.0
5610,126.96837263070333,0.022,1.0
5611,184.0969143371641,0.1945,2.0
5612,108.4646505252422,2.1,4.0
5613,180.6775030701517,0.885,4.0
5614,186.35692528716072,1.92,5.0
5615,98.82407873666416,1.6,5.0
5616,157.49377355468187,1.65,9.0
5618,133.44412936715804,1.95,6.0
5619,122.21503522615663,3.5,3.0
5620,146.1737070138906,3.76,3.0
5621,142.29177914312515,2.5522,9.0
5622,95.9425949210958,3.1,9.0
5623,131.78458650264108,0.039,2.0
5624,180.6092121761518,1.49,4.0
5625,102.93980915989553,1.85,9.0
5626,1085.5595230899796,50.0,2.0
5627,147.36298144046276,0.33,2.0
5628,104.22631106984083,2.0,2.0
5629,177.57177212762574,1.7,7.0
5630,191.56562898688986,1.49,5.0
5631,175.83111672226426,0.95,5.0
5632,100.38973742527573,2.1,3.0
5633,118.4349589086551,2.99,8.0
5634,147.16279537610058,2.15,2.0
5635,127.28494576179374,0.879,9.0
5636,220.5019815759104,2.99,7.0
5637,225.47203706619717,5.0,3.0
5638,137.1553085283062,0.93,3.0
5639,113.58425184352063,1.67,4.0
5640,92.66077272277187,1.93,8.0
5641,106.31231283020173,2.5,4.0
5642,177.68990680703408,2.48,5.0
5643,106.23625256810584,2.17,3.0
5644,190.2534503710017,1.5,3.0
5645,144.96867008780387,3.1,6.0
5646,97.77193829190387,0.8,10.0
5647,124.53136585735578,1.6,5.0
5648,175.79318062129914,0.65,2.0
5649,88.14288894024904,0.49,2.0
5650,256.8704338725743,12.0,5.0
5651,259.5612889608636,0.2,2.0
5652,115.79241249411194,3.99,2.0
5653,194.0953494094519,2.23,4.0
5654,220.33128543892485,2.75,5.0
5655,172.27060580752044,0.45,2.0
5656,124.80475892809969,1.7,5.0
5657,154.86031334175127,2.25,6.0
5658,289.4091422879473,1.1,4.0
5659,103.26606941328431,2.7,10.0
5660,102.396343203893,1.798,8.0
5661,122.43670730474446,3.0,5.0
5662,203.00193617580166,0.1,1.0
5663,131.00782953758352,0.01,1.0
5664,133.87465530079115,1.95,4.0
5665,116.34919704869301,2.1699,2.0
5666,533.9238240747476,2.95,4.0
5667,281.13196012075866,4.9,1.0
5668,191.32774251093372,1.075,10.0
5669,194.2246364499894,4.479,2.0
5670,713.1331040623235,50.0,3.0
5671,165.26176162164302,4.4,5.0
5672,163.05636664781701,2.2888,3.0
5673,107.92995226717926,2.0,5.0
5674,165.31165452690433,1.47,3.0
5675,99.08526943584329,0.759,6.0
5676,212.33186498669198,0.055,3.0
5677,116.26508691212841,2.285,6.0
5678,37765.5,100.0,4.0
5679,118.28625426864767,4.25,6.0
5680,104.18477666003682,0.011,1.0
5681,128.5303593941415,1.19,3.0
5683,290.7816248671595,3.0,3.0
5684,106.77330254258331,1.78,3.0
5685,124.78187615197643,2.0,3.0
5686,118.10136842514699,2.4520762499999993,3.0
5687,139.53675821893844,1.26,3.0
5688,135.7816230666369,3.15,2.0
5689,113.89446187888058,0.95,2.0
5690,141.49715462896603,2.349,6.0
5691,192.75094726999242,1.875,2.0
5692,175.54557187204085,1.69,3.0
5693,137.52152003275705,1.84,2.0
5694,125.22892198858014,1.15,5.0
5695,196.29798820290074,10.0,3.0
5696,124.50566082238842,1.39,7.0
5697,113.85906326601767,1.18,4.0
5698,110.92290291393266,1.39,6.0
5699,128.7877275669935,2.94,6.0
5700,125.38933404284184,1.15,5.0
